strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
F22031,1,3.3,20.6,17.3,0.00642559,0.341041218,1.449650429,EXP,0.996810801,0.092024219,0.021197156,0.249327038,0.249327038
F22031,2,20.6,36.7,16.1,0.347466808,0.669790703,11.98512424,EXP,0.945412498,0.065824536,0.04292719,0.057574428,0.057574428
F22031,3,36.7,48,11.3,1.017257511,-0.04648509,11.24450033,EXP,0.989257207,0.003776693,-0.004222095,0.003709655,-0.004247581
F23197,1,12.8,32.5,19.7,0.008181858,0.416801717,2.441355115,EXP,0.975861826,0.091943163,0.024289417,0.188350454,0.188350454
F23197,2,32.5,43.6,11.1,0.424983576,0.469180533,7.573974326,EXP,0.982909202,0.053891612,0.039709811,0.058201386,0.058201386
F23197,3,43.6,48,4.4,0.894164108,-0.10091697,3.763218647,EXP,0.944530711,0.018946704,-0.020834362,0.021064579,-0.024434272
F30658,1,4.4,22.2,17.8,0.006743372,0.382177288,1.026964735,EXP,0.963780657,0.193493196,0.019937347,0.523180696,0.157303333
F30658,2,22.2,28.4,6.2,0.388920659,0.413794498,4.154664954,GOM,0.992665795,0.154867878,0.062273121,0.386456575,0.109881184
F30658,3,28.4,48,19.6,0.802715158,-0.330256718,12.66573912,EXP,0.980630573,0.013301179,-0.017570125,0.027186196,-0.027186196
F34365,1,4.4,21.5,17.1,0.008560131,0.370285516,1.510287381,EXP,0.999138085,0.104739071,0.022880386,0.264797923,0.233195971
F34365,2,21.5,36.3,14.8,0.378845647,0.571256005,10.57232039,EXP,0.972965307,0.050716593,0.035817419,0.050129239,0.050129239
F34365,3,36.3,48,11.7,0.950101652,-0.059464386,10.55363055,EXP,0.939076787,0.001053212,-0.006981147,0.001197611,-0.007588641
F5677,1,15.4,47.9,32.5,0.011035762,0.641946261,7.111103861,EXP,0.991355591,0.06374779,0.020434892,0.09121503,0.09121503
F5677,2,47.9,48,0.1,0.652982024,0.004150614,0.065505733,EXP,1,0.04223193,0.041510318,0.06426698,0.06336613
F5677,3,48,48,0,0.657132637,0,0,EXP,0,0.003495516,0.003495516,0.005319346,0.005319346
F63912,1,4.4,25.6,21.2,0.008100041,0.693385198,4.139292358,EXP,0.973334841,0.133176141,0.035517272,0.173121139,0.173121139
F63912,2,25.6,32.3,6.7,0.701485239,0.361756997,6.066847319,EXP,0.980852619,0.068751252,0.056247494,0.062137238,0.062137238
F63912,3,32.3,48,15.7,1.063242236,-0.237340906,14.95567899,EXP,0.998527166,0.01485766,-0.015761189,0.013835626,-0.016684951
F9670,1,5,23.5,18.5,0.005962359,0.621192073,1.633829128,EXP,0.986541678,0.220419218,0.02943908,0.397444949,0.185004663
F9670,2,23.5,38.6,15.1,0.627154432,0.601688241,16.67458129,GOM,0.91824161,0.166476026,0.030275316,0.230275729,0.032704121
F9670,3,38.6,48,9.4,1.228842672,-0.153501201,10.58950358,LGX,0.980716402,4.44E-07,-0.016543595,4.08E-07,-0.014196608
H27930,1,4.7,19.6,14.9,0.008419773,0.378754692,1.343585535,EXP,0.999312561,0.114757588,0.026225285,0.291444149,0.278346719
H27930,2,19.6,37.5,17.9,0.387174466,0.712396586,14.04545028,EXP,0.966927449,0.050253792,0.034724996,0.044234991,0.044234991
H27930,3,37.5,48,10.5,1.099571052,-0.112493481,10.85597413,EXP,0.995567375,0.004786171,-0.010207732,0.004824101,-0.009767556
H47921,1,9,24.1,15.1,0.009131928,0.548661977,1.192674657,EXP,0.978244625,0.280983998,0.03234198,0.558786349,0.19816321
H47921,2,24.1,38,13.9,0.557793905,0.725036021,14.48753779,LGX,0.880041325,0.052161969,0.031183066,0.067296609,0.031997784
H47921,3,38,48,10,1.282829926,-0.2926118,10.62444573,EXP,0.922798399,0.001797787,-0.037812664,0.001826624,-0.032467371
H5708,1,4.4,28.3,23.9,0.006282715,0.89434783,5.514904171,EXP,0.979679508,0.164496703,0.040554169,0.167357255,0.167357255
H5708,2,28.3,32.8,4.5,0.900630546,0.276964979,4.939762403,LGX,0.922259578,3.86E-14,7.47E-15,3.52E-14,6.81E-15
H5708,3,32.8,48,15.2,1.177595524,-0.363215025,14.14936609,LGX,3.50E-32,3.91E-25,1.53E-26,4.20E-25,1.64E-26
M1608,1,3.7,27.7,24,0.003637253,0.360847979,2.276839001,EXP,0.993146945,0.064402088,0.016007561,0.165178869,0.165178869
M1608,2,27.7,43.5,15.8,0.364485232,0.431499429,9.281758721,EXP,0.9907069,0.039609563,0.027877844,0.047448214,0.047448214
M1608,3,43.5,48,4.5,0.795984661,-0.047263403,3.474619886,EXP,0.902504757,0.014067314,-0.015854006,0.017443518,-0.020586585
