Row,Phase1,Phase2,Phase3
F22031,2.6,7.9,10.3
F23197,1.2,7.4,9.4
F30658,0,10.6,15.6
F34365,2.6,6.8,8.9
F5677,1.1,5.7,8
F63912,1.2,7.9,9.9
F9670,1.2,9.2,11.6
H27930,1.2,8.4,11.1
H47921,4.9,6.9,9
H5708,5.2,7.1,9.2
M1608,5.7,12.7,14.8
M37351,3.2,7.7,9.9
M55212,4.1,9.6,12.5
M6075,3.5,6,8.2
M74707,5.5,10.8,12.8
PA14,1.4,7.1,9.4
PA7,2.6,7.4,9.7
PAO1,3.9,5.8,7.7
S86968,3,7.1,9.3
T38079,4,8.9,11.1
T52373,1.2,8.2,14.2
T6313,1.2,7.6,10.1
T63266,5.3,7.2,9.3
W16407,3.5,6.4,8.5
W25637,3.6,9,11.1
W36662,1.2,9.6,11.9
W45909,2.3,6.4,8.5
W60856,2.7,7.1,9.2
W70332,2.3,6.9,9.3
W91453,3.5,9,12
X78812,5,6.9,8.9
X9820,1.6,7.2,9.2
