,ip_rhamn.0,ip_rhamn.1,ip_rhamn.2
pchA,2.792750333859601,0.21345594137975657,-1.0137615756434426
PA14_64740,1.6736466168797963,0.5915030128945713,-0.85563410998385
PA14_51050,1.6736466168797963,0.5915030128945713,-0.85563410998385
fadB,1.465031508684878,-0.5585887835361705,-0.17292400098878918
cysN,1.4490788354390878,-0.7289870961125727,-0.0765904131041305
cysD,1.4490788354390878,-0.7289870961125727,-0.0765904131041305
PA14_19740,1.3607978731533756,-0.5460909210324398,-0.1460399152748412
PA14_40980,1.3607978731533756,-0.5460909210324398,-0.1460399152748412
asd,1.303600888677932,-0.4939715115680462,-0.15551098309664768
acsA,1.1187423056230865,0.009063522214503697,-0.36518852293213916
lpdV,1.1118822342210768,0.11695554935658369,-0.4207216128681215
lpd3,1.1118822342210768,0.11695554935658369,-0.4207216128681215
PA14_38200,1.079172055407071,-0.2329405765097468,-0.22292525131291663
ilvI,1.079172055407071,-0.2329405765097468,-0.22292525131291663
PA14_09820,1.079172055407071,-0.2329405765097468,-0.22292525131291663
ilvH,1.079172055407071,-0.2329405765097468,-0.22292525131291663
atoB,1.0524168587929525,0.2809940547547416,-0.48935995796230475
PA14_31530,1.0524168587929525,0.2809940547547416,-0.48935995796230475
PA14_13090,1.0524168587929525,0.2809940547547416,-0.48935995796230475
PA14_63250,1.0524168587929525,0.2809940547547416,-0.48935995796230475
PA14_31540,1.0188284159340795,-0.1943007402104596,-0.2241686831553325
dapB,0.9877528457776256,-0.2882550041494321,-0.16387617312650107
PA14_09730,0.9877528457776256,-0.2882550041494321,-0.16387617312650107
dapA,0.9877528457776256,-0.2882550041494321,-0.16387617312650107
pchB,0.9223442081590931,-0.33728312780856956,-0.11656925211783609
ilvE,0.9161445054576873,-0.3148955936456224,-0.1265539478995729
accB,0.8820131612695797,-0.1643418627580334,-0.1961352713373274
PA14_06430,0.8820131612695797,-0.1643418627580334,-0.1961352713373274
accA,0.8820131612695797,-0.1643418627580334,-0.1961352713373274
PA14_06450,0.8820131612695797,-0.1643418627580334,-0.1961352713373274
accC,0.8820131612695797,-0.1643418627580334,-0.1961352713373274
acnB,0.8590092419959254,-0.08033128908348192,-0.2336874593891266
PA14_54940,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
pchG,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
PA14_54920,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
pchF,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
pchE,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
pchD,0.8298467527359622,-0.2970270556256376,-0.10832119286855604
leuC,0.7875902899492443,-0.12665287094173175,-0.18589317718587622
leuB,0.7875902899492443,-0.12665287094173175,-0.18589317718587622
leuD,0.7875902899492443,-0.12665287094173175,-0.18589317718587622
PA14_31500,0.7858893468256679,0.16941520250299288,-0.3437977953810939
acsB,0.7858893468256679,0.16941520250299288,-0.3437977953810939
argD,0.7786957061623839,-0.010137464863069686,-0.2453861077059765
