Reaction,ID,Subsystem,WT_force_RL_mean,RhlA_mean,AbsDiff,Diff,RelDiff,pval,-logpval
5drib_c --> ,DM_5DRIB,,0.0002758098519141802,0.0002793217200046736,3.5118680904933563e-06,3.5118680904933563e-06,0.01273293200413339,0.040736099049261135,3.200640625118023
3oxoadp_e --> ,EX_3oxoadp_e_,S_,0.06160553266353884,0.05467535741339628,0.006930175250142556,-0.006930175250142556,-0.11249274132555585,0.009292212001849178,4.678578648810226
4hbz_e --> ,EX_4hbz_e_,S_,0.035250036685752495,0.039808129260051416,0.004558092574298921,0.004558092574298921,0.12930745618603084,0.0423595956843132,3.1615603030462958
akg_e --> ,EX_akg_e_,S_,0.22331973052230625,0.2601633697301295,0.03684363920782324,0.03684363920782324,0.16498156755631194,4.922386763719044e-07,14.524302123507097
h2s_e --> ,EX_h2s_e_,S_,0.06410438455031509,0.05534672466001375,0.008757659890301334,-0.008757659890301334,-0.13661561454392418,0.009989269326117786,4.606243829525324
h_e --> ,EX_h_e_,S_,16.232342225600302,16.347692047316595,0.11534982171629338,0.11534982171629338,0.007106172363368067,0.04779331626057741,3.040869476446032
phpyr_e --> ,EX_phpyr_e_,S_,0.029859346608649605,0.02543339125822023,0.004425955350429375,-0.004425955350429375,-0.14822679841049408,0.004166416344250793,5.480699002526519
so4_e <=> ,EX_so4_e_,S_,-0.11159325004302327,-0.10338276600845915,0.00821048403456412,0.00821048403456412,-0.07357509554922613,0.012457320709717093,4.385446820068245
llrhh_e --> ,EX_llrhh_e_,S_,0.011066984336247783,0.0,0.011066984336247783,-0.011066984336247783,-1.0,5.6499622495675465e-118,269.97339210965384
lrhh_e --> ,EX_lrhh_e_,S_,0.004234435954792157,0.0,0.004234435954792157,-0.004234435954792157,-1.0,3.240412048707059e-26,58.6915119206002
haa_e --> ,EX_haa_e_,S_,0.003337316647167244,0.0,0.003337316647167244,-0.003337316647167244,-1.0,8.437655221949216e-09,18.590561384241518
34dhbz_e --> ,EX_34dhbz_e_,S_,0.05313987181158643,0.06737695380999459,0.01423708199840816,0.01423708199840816,0.26791713101769205,6.732374821117058e-06,11.908582605657864
dtdp4d6dg_c --> dtdp4d6dm_c,TDPDRE,S_Alginate_biosynthesis,0.026368404626733365,0.0,0.026368404626733365,-0.026368404626733365,-1.0,6.9399829685434055e-140,320.42461369875105
dtdpglu_c --> dtdp4d6dg_c + h2o_c,TDPGDH,S_Alginate_biosynthesis,0.026368404626733365,0.0,0.026368404626733365,-0.026368404626733365,-1.0,6.9399829685434055e-140,320.42461369875105
dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,G1PTT,S_Alginate_biosynthesis,0.026368404626733365,0.0,0.026368404626733365,-0.026368404626733365,-1.0,1.3076336744160411e-139,319.79110877779414
2mcit_c --> 2mcacn_c + h2o_c,MCITD,S_Alternate_Carbon__Propanoate_Metabolism,0.2666432971068595,0.25460113738579415,0.01204215972106537,-0.01204215972106537,-0.04516205676919519,0.038018571482130524,3.269680515428084
micit_c <=> pyr_c + succ_c,MCITL2,S_Alternate_Carbon__Propanoate_Metabolism,0.2666432971068595,0.25460113738577556,0.012042159721083967,-0.012042159721083967,-0.045162056769264936,0.038018571482130524,3.269680515428084
2mcacn_c + h2o_c <=> micit_c,MICITDr,S_Alternate_Carbon__Propanoate_Metabolism,0.2666432971012556,0.2546011374654852,0.012042159635770433,-0.012042159635770433,-0.04516205645026029,0.03698025065584026,3.297371274900098
h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,MCITS,S_Alternate_Carbon__Propanoate_Metabolism,0.2666432971068595,0.25460113738579415,0.01204215972106537,-0.01204215972106537,-0.04516205676919519,0.038018571482130524,3.269680515428084
etha_c --> acald_c + nh4_c,ETHAAL,S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,0.18719047988081194,0.19430822596286385,0.007117746082051901,0.007117746082051901,0.03802408160171349,0.011615354626132045,4.455427381488264
alltt_c + 2.0 h2o_c + 2.0 h_c --> co2_c + 2.0 nh4_c + urdglyc_c,ALLTAMH,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.04787348870506134,0.03803510004834586,0.009838388656715484,-0.009838388656715484,-0.20550807812081048,1.3683327692542243e-08,18.10708770195425
alltn_c + h2o_c --> alltt_c + h_c,ALLTN,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.04787348870506134,0.03803510004834586,0.009838388656715484,-0.009838388656715484,-0.20550807812081048,1.3683327692542243e-08,18.10708770195425
h2o_c + o2_c + urate_c --> h2o2_c + h_c + hiu_c,URIC2,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.16415387209643573,0.15491568834216943,0.0092381837542663,-0.0092381837542663,-0.05627758660995294,0.0003839066207908258,7.865111209972278
h2o_c + 2.0 h_c + urdglyc_c --> co2_c + glx_c + 2.0 nh4_c,UGLYCH,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.04787348870506134,0.03803510004834586,0.009838388656715484,-0.009838388656715484,-0.20550807812081048,2.0847452129302578e-09,19.98861918919613
h_c + ohcu_c --> alltn_c + co2_c,OHCUDC,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.16415387209643573,0.15491568834216943,0.0092381837542663,-0.0092381837542663,-0.05627758660995294,0.0005097715573943944,7.581547859272682
h2o_c + hiu_c <=> ohcu_c,HIUHY,S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,0.16415387209643573,0.15491568835152922,0.009238183744906509,-0.009238183744906509,-0.05627758655293454,0.0006343005985767394,7.362987585644055
34dhbz_c + o2_c --> CCbuttc_c + 2.0 h_c,PCADYOX,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.06160553253312388,0.054675357286160485,0.006930175246963398,-0.006930175246963398,-0.11249274151209068,0.004205675891628927,5.471320263246893
5odhf2a_c + h2o_c --> 3oxoadp_c + h_c,OXOAEL,S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,0.06160553266353884,0.05467535741339628,0.006930175250142556,-0.006930175250142556,-0.11249274132555585,0.004303668326106087,5.448287520870391
