Cycle Nr.,Time [s],Temp. [°C],A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5
1,0,36.8,0.071999997,0.074000001,0.0757,0.076800004,0.072300002,0.073200002,0.083899997,0.075199999,0.075199999,0.079000004,0.077399999,0.082400002,0.074299999,0.075999998,0.085199997,0.077399999,0.0744,0.0792,0.077799998,0.082099997,0.075199999,0.075999998,0.089100003,0.077,0.074100003,0.078000002,0.0832,0.087200001,0.0748,0.075900003,0.088600002,0.076399997,0.074299999,0.079000004,0.077100001,0.086900003,0.072099999,0.0726,0.075300001,0.075300001
2,608.2,37.1,0.072499998,0.0735,0.076200001,0.075599998,0.071699999,0.072700001,0.0832,0.074699998,0.074699998,0.078299999,0.077100001,0.081600003,0.073700003,0.075499997,0.083700001,0.077799998,0.074500002,0.079300001,0.078699999,0.081799999,0.074600004,0.075099997,0.087200001,0.076899998,0.0744,0.077600002,0.0845,0.0867,0.074299999,0.075900003,0.088399999,0.076200001,0.073399998,0.077200003,0.075900003,0.079700001,0.072999999,0.072899997,0.076200001,0.075599998
3,1216.4,36.9,0.072499998,0.073299997,0.076099999,0.075199999,0.072300002,0.0735,0.084799998,0.075800002,0.074500002,0.077799998,0.077,0.081100002,0.074600004,0.076099999,0.086499996,0.0779,0.075499997,0.079099998,0.078699999,0.081799999,0.075300001,0.076099999,0.088200003,0.077600002,0.074600004,0.077,0.082000002,0.086199999,0.074100003,0.0757,0.086199999,0.076300003,0.072700001,0.076399997,0.075499997,0.078599997,0.0726,0.071999997,0.0748,0.076099999
4,1824.6,37.2,0.073700003,0.073700003,0.076399997,0.075499997,0.071699999,0.072499998,0.082999997,0.074600004,0.074900001,0.078599997,0.076800004,0.081200004,0.073799998,0.074900001,0.083999999,0.076300003,0.076800004,0.078100003,0.077399999,0.080600001,0.073799998,0.0744,0.0845,0.075999998,0.076700002,0.077500001,0.084100001,0.086499996,0.073700003,0.075000003,0.085900001,0.075400002,0.072099999,0.075499997,0.075000003,0.077500001,0.072400004,0.071999997,0.0744,0.075999998
5,2432.9,36.8,0.072300002,0.072499998,0.074900001,0.074699998,0.071099997,0.071699999,0.082199998,0.074199997,0.074000001,0.077799998,0.078699999,0.080899999,0.0726,0.073700003,0.082699999,0.075499997,0.074500002,0.077500001,0.076300003,0.079599999,0.073200002,0.073700003,0.083899997,0.075499997,0.075599998,0.078599997,0.0854,0.086400002,0.072800003,0.074299999,0.085100003,0.074900001,0.071699999,0.074900001,0.075000003,0.077100001,0.072400004,0.071999997,0.0748,0.076200001
6,3041.1,37.1,0.071900003,0.072499998,0.075499997,0.074699998,0.071900003,0.072899997,0.083899997,0.075400002,0.074900001,0.078500003,0.078599997,0.082000002,0.073100001,0.074199997,0.083899997,0.075999998,0.077399999,0.078599997,0.078400001,0.081100002,0.074100003,0.075099997,0.0854,0.077100001,0.0766,0.078500003,0.083999999,0.086999997,0.073899999,0.075199999,0.0867,0.076200001,0.0722,0.075300001,0.075999998,0.077600002,0.073600002,0.073200002,0.076800004,0.075999998
7,3649.3,37.3,0.071599998,0.073399998,0.075099997,0.075599998,0.071400002,0.072700001,0.082500003,0.075099997,0.074299999,0.077299997,0.076499999,0.081900001,0.0726,0.074699998,0.083499998,0.076099999,0.072999999,0.076899998,0.076200001,0.0792,0.074299999,0.0757,0.0858,0.077500001,0.073700003,0.0788,0.081,0.086499996,0.072999999,0.075000003,0.085900001,0.075800002,0.07,0.073200002,0.073899999,0.075599998,0.071199998,0.0713,0.072999999,0.075499997
8,4257.5,37.1,0.072400004,0.0735,0.076200001,0.075300001,0.071800001,0.072700001,0.083999999,0.0748,0.076899998,0.077399999,0.077,0.081600003,0.072899997,0.074000001,0.083400004,0.075300001,0.073799998,0.077399999,0.077100001,0.079999998,0.073899999,0.074500002,0.0845,0.076300003,0.074500002,0.077699997,0.0832,0.086900003,0.0735,0.0748,0.086499996,0.075599998,0.071400002,0.074500002,0.075099997,0.076899998,0.073100001,0.073100001,0.076300003,0.075499997
9,4865.7,36.7,0.073100001,0.073700003,0.076700002,0.075499997,0.071900003,0.072700001,0.0836,0.0748,0.074199997,0.078000002,0.077200003,0.082999997,0.073600002,0.0748,0.084200002,0.076399997,0.0744,0.077699997,0.077699997,0.080499999,0.074299999,0.075400002,0.086400002,0.076899998,0.072999999,0.077500001,0.082900003,0.086900003,0.073799998,0.075599998,0.085900001,0.076200001,0.071500003,0.074199997,0.075300001,0.076499999,0.072499998,0.072099999,0.0748,0.075900003
10,5473.9,37.2,0.072700001,0.073799998,0.076399997,0.076200001,0.071900003,0.072800003,0.083099999,0.075000003,0.074600004,0.078299999,0.077600002,0.082900003,0.0735,0.075099997,0.084299996,0.076399997,0.074500002,0.077799998,0.076899998,0.080600001,0.074600004,0.075800002,0.0858,0.077299997,0.073200002,0.079099998,0.086099997,0.087200001,0.073700003,0.0757,0.085500002,0.076300003,0.071999997,0.075199999,0.075900003,0.077699997,0.072800003,0.072300002,0.0748,0.075900003
11,6082.1,37.2,0.072400004,0.073200002,0.076399997,0.075499997,0.072899997,0.074100003,0.084600002,0.076300003,0.074299999,0.078199998,0.077100001,0.082900003,0.073700003,0.074900001,0.084700003,0.0766,0.073600002,0.078100003,0.077200003,0.081,0.074900001,0.076099999,0.086099997,0.077600002,0.073200002,0.0779,0.086499996,0.087300003,0.074299999,0.076399997,0.086900003,0.076899998,0.071800001,0.075000003,0.075800002,0.077600002,0.073100001,0.072899997,0.075400002,0.0766
12,6690.4,36.7,0.072099999,0.073100001,0.0757,0.075199999,0.0722,0.073100001,0.0832,0.075300001,0.0748,0.078500003,0.078000002,0.083400004,0.074500002,0.075300001,0.083800003,0.076899998,0.074500002,0.078500003,0.078199998,0.081100002,0.074900001,0.075499997,0.084600002,0.077299997,0.073399998,0.077500001,0.081900001,0.087399997,0.074199997,0.076099999,0.0867,0.076700002,0.071400002,0.0744,0.075099997,0.076800004,0.072700001,0.072300002,0.074699998,0.076200001
13,7298.6,37.2,0.071699999,0.072300002,0.075199999,0.0744,0.072300002,0.073200002,0.083300002,0.075199999,0.0748,0.078299999,0.077,0.082800001,0.074600004,0.075300001,0.083899997,0.0766,0.073799998,0.078400001,0.076899998,0.081100002,0.075099997,0.075800002,0.085500002,0.077299997,0.0735,0.078000002,0.088500001,0.087300003,0.073700003,0.075800002,0.086300001,0.076300003,0.072499998,0.075400002,0.076399997,0.078000002,0.072099999,0.071999997,0.074000001,0.0757
14,7906.8,36.8,0.071800001,0.072800003,0.075499997,0.074900001,0.071099997,0.072400004,0.081600003,0.074600004,0.073799998,0.077699997,0.075900003,0.082500003,0.074000001,0.074600004,0.083800003,0.076099999,0.073200002,0.0779,0.076300003,0.080799997,0.0748,0.075199999,0.083800003,0.076899998,0.0722,0.076800004,0.082199998,0.086999997,0.073600002,0.075599998,0.084600002,0.076099999,0.071199998,0.0748,0.075000003,0.077299997,0.072400004,0.072300002,0.074299999,0.076099999
15,8515,36.9,0.071800001,0.0726,0.075999998,0.074699998,0.072300002,0.073200002,0.084799998,0.075199999,0.073700003,0.077100001,0.076700002,0.081600003,0.074500002,0.075199999,0.085100003,0.076499999,0.073799998,0.078599997,0.0788,0.080799997,0.075099997,0.075099997,0.086000003,0.076700002,0.0735,0.076899998,0.081500001,0.087399997,0.073600002,0.075400002,0.087099999,0.076099999,0.072099999,0.075099997,0.075999998,0.077500001,0.073600002,0.073200002,0.076499999,0.0757
16,9123.2,36.9,0.073100001,0.073399998,0.076700002,0.075400002,0.071599998,0.073100001,0.084200002,0.075199999,0.0735,0.078000002,0.076200001,0.082699999,0.074900001,0.076099999,0.086199999,0.077600002,0.073399998,0.077699997,0.076800004,0.080799997,0.075599998,0.076300003,0.087200001,0.077699997,0.073799998,0.077600002,0.088299997,0.086900003,0.073899999,0.076399997,0.086599998,0.076800004,0.072300002,0.075400002,0.076200001,0.078000002,0.072400004,0.072300002,0.074600004,0.075999998
