Cycle Nr.,Time [s],Temp. [°C],A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4
1,0,36.5,0.072499998,0.072899997,0.078100003,0.074699998,0.072999999,0.076700002,0.095299996,0.076899998,0.074199997,0.0792,0.077,0.081799999,0.074900001,0.076399997,0.092900001,0.078299999,0.074199997,0.079800002,0.077399999,0.081100002,0.075000003,0.074699998,0.089199997,0.077500001,0.0757,0.080399998,0.0779,0.083300002,0.071800001,0.073600002,0.076300003,0.076499999
2,608,36.8,0.072400004,0.072999999,0.078199998,0.075000003,0.072999999,0.076499999,0.091799997,0.076499999,0.0735,0.078100003,0.076499999,0.080300003,0.074500002,0.075999998,0.091499999,0.077799998,0.0735,0.078400001,0.077299997,0.079800002,0.074500002,0.074299999,0.089199997,0.077100001,0.072899997,0.076800004,0.076499999,0.078100003,0.071199998,0.072499998,0.075499997,0.076399997
3,1216,36.7,0.0726,0.074000001,0.078100003,0.0757,0.072800003,0.076899998,0.093000002,0.0766,0.074199997,0.078500003,0.077,0.080700003,0.074199997,0.076099999,0.091499999,0.077699997,0.073899999,0.078900002,0.077600002,0.079899997,0.075099997,0.075099997,0.090599999,0.077500001,0.072700001,0.076499999,0.076700002,0.077299997,0.071800001,0.074199997,0.077,0.075999998
4,1824,37.2,0.072499998,0.073399998,0.078100003,0.075099997,0.072400004,0.075800002,0.090599999,0.075599998,0.073700003,0.078400001,0.076899998,0.080600001,0.073700003,0.075199999,0.090000004,0.077100001,0.074600004,0.079700001,0.078299999,0.080300003,0.075499997,0.075599998,0.090400003,0.0779,0.072800003,0.075999998,0.076700002,0.077,0.071900003,0.074600004,0.077100001,0.076099999
5,2432,36.8,0.073100001,0.072999999,0.077699997,0.075099997,0.0722,0.076300003,0.093400002,0.076200001,0.073399998,0.077600002,0.075999998,0.079700001,0.073899999,0.075199999,0.090499997,0.077200003,0.074199997,0.0788,0.077699997,0.079599999,0.073600002,0.074299999,0.089199997,0.077600002,0.0722,0.075999998,0.076300003,0.076899998,0.070799999,0.072499998,0.075099997,0.076300003
6,3040,37.1,0.073100001,0.073700003,0.077399999,0.075000003,0.0722,0.075900003,0.091300003,0.076300003,0.073399998,0.077799998,0.076700002,0.080300003,0.074100003,0.075800002,0.091200002,0.077299997,0.072999999,0.077799998,0.076399997,0.078500003,0.074100003,0.0748,0.089400001,0.077299997,0.072499998,0.076399997,0.076399997,0.077200003,0.071099997,0.073600002,0.076200001,0.075400002
7,3648.1,36.7,0.072400004,0.073299997,0.0766,0.074600004,0.072700001,0.0766,0.092500001,0.076700002,0.073799998,0.077799998,0.076399997,0.079899997,0.073899999,0.074900001,0.088500001,0.0766,0.073399998,0.078299999,0.076899998,0.079099998,0.074299999,0.075000003,0.090800002,0.077399999,0.072899997,0.076200001,0.077100001,0.076800004,0.071699999,0.073899999,0.077,0.0757
8,4256.1,36.9,0.071699999,0.0735,0.076399997,0.074699998,0.071699999,0.0757,0.092900001,0.075999998,0.073200002,0.077100001,0.076499999,0.079499997,0.072400004,0.074299999,0.089400001,0.076099999,0.072300002,0.076899998,0.076200001,0.0779,0.073799998,0.074600004,0.089900002,0.077399999,0.071500003,0.075499997,0.075999998,0.076200001,0.070799999,0.073399998,0.0766,0.0748
9,4864.1,37.1,0.073100001,0.074000001,0.077299997,0.0757,0.072400004,0.076200001,0.092699997,0.076399997,0.073399998,0.076700002,0.075499997,0.079099998,0.073799998,0.075499997,0.090700001,0.077699997,0.073100001,0.078100003,0.076200001,0.078900002,0.074600004,0.075499997,0.091799997,0.078000002,0.071900003,0.075400002,0.075900003,0.076200001,0.071800001,0.074299999,0.077,0.076099999
10,5472.1,37.3,0.073200002,0.073799998,0.076200001,0.0748,0.072499998,0.075999998,0.091700003,0.076200001,0.074500002,0.077799998,0.0766,0.080200002,0.074500002,0.076200001,0.091499999,0.078299999,0.073399998,0.078100003,0.076700002,0.079000004,0.0748,0.0757,0.090400003,0.078100003,0.0722,0.075499997,0.075900003,0.076700002,0.071999997,0.074299999,0.0766,0.076700002
11,6080.1,37.3,0.073100001,0.074199997,0.077500001,0.074900001,0.0722,0.076300003,0.090700001,0.076800004,0.073600002,0.0779,0.076300003,0.080399998,0.074199997,0.075999998,0.091200002,0.0779,0.072899997,0.078000002,0.076499999,0.078699999,0.0748,0.075599998,0.090800002,0.078100003,0.071900003,0.075499997,0.075999998,0.076300003,0.071199998,0.073399998,0.076499999,0.075099997
12,6688.1,36.8,0.073299997,0.074600004,0.077500001,0.0757,0.073600002,0.077100001,0.094700001,0.077399999,0.075199999,0.079000004,0.077699997,0.081500001,0.074500002,0.075999998,0.091899998,0.077699997,0.074699998,0.079700001,0.0779,0.080499999,0.075400002,0.076399997,0.092100002,0.078900002,0.073399998,0.076899998,0.077100001,0.077799998,0.072499998,0.074699998,0.077699997,0.076499999
13,7296.1,36.9,0.070900001,0.072300002,0.075900003,0.074100003,0.071199998,0.074900001,0.0911,0.075300001,0.073100001,0.077100001,0.075900003,0.079599999,0.073799998,0.0748,0.091499999,0.076300003,0.073299997,0.077500001,0.076800004,0.078400001,0.073799998,0.074699998,0.089100003,0.076899998,0.071900003,0.075199999,0.076099999,0.075999998,0.069700003,0.071199998,0.074100003,0.074299999
14,7904.2,37.2,0.073399998,0.073399998,0.077600002,0.075300001,0.072999999,0.0766,0.093000002,0.077100001,0.074900001,0.078500003,0.077699997,0.081100002,0.0748,0.076499999,0.092500001,0.078400001,0.073899999,0.078500003,0.077500001,0.079400003,0.0744,0.075499997,0.091499999,0.078000002,0.072899997,0.076399997,0.077100001,0.077399999,0.071800001,0.074600004,0.077399999,0.075999998
15,8512.2,36.9,0.073200002,0.072700001,0.077699997,0.0744,0.071999997,0.075300001,0.0911,0.075599998,0.074299999,0.077699997,0.076499999,0.0801,0.074100003,0.075599998,0.091300003,0.077200003,0.073799998,0.078400001,0.077299997,0.079000004,0.0744,0.075000003,0.090599999,0.077200003,0.072999999,0.076099999,0.076899998,0.076800004,0.071199998,0.073600002,0.076499999,0.075599998
16,9120.2,36.7,0.072700001,0.0735,0.077399999,0.075400002,0.071900003,0.075800002,0.093500003,0.076200001,0.075099997,0.0788,0.077100001,0.0814,0.074299999,0.076399997,0.090700001,0.078100003,0.073600002,0.078299999,0.076899998,0.079400003,0.074699998,0.076099999,0.0911,0.078100003,0.072300002,0.075999998,0.075999998,0.076899998,0.071500003,0.074100003,0.076800004,0.075499997
17,9728.2,37.2,0.072899997,0.073399998,0.077500001,0.075499997,0.072999999,0.076399997,0.093800001,0.077200003,0.075300001,0.078599997,0.077100001,0.081299998,0.0757,0.077399999,0.0942,0.079000004,0.0735,0.078699999,0.077,0.079800002,0.074699998,0.075900003,0.091200002,0.078299999,0.0726,0.076300003,0.076300003,0.077600002,0.071099997,0.0735,0.076300003,0.075400002
18,10336.2,37.1,0.072300002,0.074299999,0.077100001,0.075000003,0.071999997,0.075599998,0.090999998,0.075800002,0.075999998,0.079000004,0.077299997,0.0814,0.076200001,0.077600002,0.092100002,0.079000004,0.075099997,0.079999998,0.078699999,0.080899999,0.075499997,0.076099999,0.091399997,0.078000002,0.0726,0.0757,0.076899998,0.076499999,0.071699999,0.073899999,0.076700002,0.075900003
19,10944.2,36.7,0.071800001,0.073399998,0.076399997,0.075199999,0.072099999,0.075900003,0.093599997,0.076300003,0.076399997,0.079400003,0.078000002,0.081699997,0.0757,0.077399999,0.091899998,0.078299999,0.075099997,0.079700001,0.078400001,0.080799997,0.075599998,0.076700002,0.091600001,0.078699999,0.072899997,0.075999998,0.076899998,0.076800004,0.071500003,0.073899999,0.076899998,0.075499997
20,11552.2,36.8,0.071900003,0.073299997,0.077200003,0.075300001,0.071699999,0.075400002,0.091300003,0.075599998,0.076800004,0.079599999,0.078000002,0.082000002,0.076099999,0.077699997,0.092,0.078699999,0.074600004,0.079099998,0.078100003,0.080200002,0.075900003,0.076800004,0.0911,0.078599997,0.072099999,0.075599998,0.076099999,0.076700002,0.070500001,0.071900003,0.075099997,0.075000003
21,12160.2,37.2,0.072999999,0.074900001,0.0792,0.076399997,0.0722,0.075999998,0.091899998,0.076399997,0.078299999,0.080600001,0.078699999,0.082900003,0.077299997,0.078900002,0.093599997,0.079099998,0.075800002,0.080700003,0.079000004,0.081500001,0.076499999,0.077500001,0.091300003,0.079099998,0.073200002,0.076399997,0.076899998,0.077299997,0.072499998,0.075400002,0.077699997,0.076700002
22,12768.2,37.1,0.072999999,0.074199997,0.079300001,0.075099997,0.072999999,0.0766,0.093500003,0.0766,0.079300001,0.081100002,0.079499997,0.083300002,0.078299999,0.079400003,0.093599997,0.079999998,0.076899998,0.082099997,0.080600001,0.082999997,0.077100001,0.078000002,0.093699999,0.079099998,0.073299997,0.076499999,0.077500001,0.077299997,0.071900003,0.0744,0.077399999,0.0757
23,13376.2,36.8,0.072999999,0.074000001,0.078100003,0.075599998,0.073100001,0.0766,0.092399999,0.076700002,0.0801,0.081500001,0.079599999,0.083899997,0.079800002,0.080499999,0.094099998,0.080600001,0.077699997,0.082400002,0.081200004,0.083400004,0.078100003,0.079300001,0.0942,0.080700003,0.073299997,0.076700002,0.077399999,0.077699997,0.071199998,0.072700001,0.075999998,0.075999998
24,13984.2,36.9,0.071900003,0.072999999,0.0779,0.074500002,0.071800001,0.075400002,0.092399999,0.0757,0.0814,0.082199998,0.080499999,0.084200002,0.079700001,0.080700003,0.097900003,0.080600001,0.076499999,0.081799999,0.080300003,0.082900003,0.077600002,0.078699999,0.094099998,0.079800002,0.072999999,0.076099999,0.077200003,0.076700002,0.070299998,0.071999997,0.074600004,0.075300001
25,14592.2,37.5,0.072800003,0.073899999,0.079300001,0.075400002,0.072400004,0.075900003,0.092500001,0.075999998,0.083099999,0.082800001,0.081500001,0.084700003,0.080600001,0.080899999,0.095600002,0.080300003,0.079000004,0.083499998,0.082699999,0.084299996,0.0792,0.0801,0.0955,0.080799997,0.0726,0.075400002,0.077,0.076099999,0.071099997,0.073299997,0.076700002,0.075000003
26,15200.2,36.7,0.073100001,0.073399998,0.0788,0.075300001,0.072700001,0.076300003,0.0911,0.076399997,0.085299999,0.085000001,0.082599998,0.0867,0.082400002,0.082800001,0.096900001,0.081699997,0.079999998,0.084899999,0.082999997,0.085600004,0.080200002,0.080799997,0.094599999,0.081299998,0.0726,0.076200001,0.076200001,0.077100001,0.071699999,0.073899999,0.076800004,0.075499997
27,15808.2,37.2,0.071400002,0.072300002,0.077299997,0.074500002,0.071599998,0.075400002,0.090700001,0.075599998,0.087399997,0.085699998,0.0832,0.087399997,0.083700001,0.084200002,0.096299998,0.082500003,0.079999998,0.0854,0.082900003,0.085900001,0.079999998,0.081100002,0.095299996,0.081699997,0.072300002,0.076099999,0.075999998,0.077100001,0.0713,0.073899999,0.076399997,0.075900003
28,16416.2,37.2,0.072700001,0.074600004,0.0779,0.076300003,0.0722,0.076099999,0.091399997,0.076300003,0.092799999,0.089000002,0.0858,0.090800002,0.086499996,0.0867,0.100299999,0.084799998,0.082599998,0.0876,0.085000001,0.087899998,0.081200004,0.082599998,0.098200001,0.0832,0.0726,0.075999998,0.0766,0.077,0.072700001,0.075400002,0.078199998,0.076099999
29,17024.2,36.7,0.0726,0.073299997,0.077799998,0.075300001,0.0726,0.0766,0.091700003,0.0766,0.095799997,0.089199997,0.086999997,0.090599999,0.088799998,0.089000002,0.0999,0.0858,0.083800003,0.088699996,0.086199999,0.088399999,0.082000002,0.083099999,0.097400002,0.083400004,0.072499998,0.075800002,0.076499999,0.076499999,0.071199998,0.072899997,0.075499997,0.0757
30,17632.2,37.2,0.072300002,0.0726,0.076800004,0.074699998,0.072499998,0.076200001,0.0911,0.076200001,0.0995,0.092200004,0.089900002,0.093599997,0.091700003,0.090700001,0.102799997,0.086800002,0.086599998,0.090800002,0.088600002,0.090499997,0.084100001,0.084700003,0.098200001,0.084700003,0.072400004,0.075499997,0.076499999,0.076399997,0.071699999,0.074100003,0.077399999,0.075599998
31,18240.3,37.3,0.072499998,0.072999999,0.077799998,0.074900001,0.072800003,0.076300003,0.093599997,0.076399997,0.103500001,0.094899997,0.092100002,0.0964,0.095899999,0.094499998,0.107000001,0.090000004,0.088500001,0.092100002,0.090099998,0.092,0.086400002,0.087200001,0.104000002,0.087099999,0.072899997,0.076200001,0.077100001,0.077100001,0.071800001,0.074299999,0.076899998,0.075999998
32,18848.3,36.8,0.072300002,0.075199999,0.077100001,0.0757,0.072099999,0.076099999,0.090800002,0.076300003,0.108400002,0.097999997,0.093999997,0.100000001,0.098099999,0.096500002,0.106899999,0.090800002,0.0898,0.093500003,0.090499997,0.0942,0.087099999,0.087800004,0.101999998,0.087399997,0.071900003,0.075800002,0.075800002,0.076899998,0.071999997,0.074900001,0.077399999,0.075999998
33,19456.3,37.3,0.073399998,0.075400002,0.077799998,0.075400002,0.071900003,0.075400002,0.090499997,0.075499997,0.115199998,0.100900002,0.097599998,0.102300003,0.103299998,0.100000001,0.109899998,0.093099996,0.093599997,0.096699998,0.0942,0.096799999,0.088799998,0.089100003,0.1043,0.087899998,0.072300002,0.075499997,0.076800004,0.076300003,0.071599998,0.073799998,0.077100001,0.075099997
34,20064.3,37.1,0.072800003,0.073100001,0.077500001,0.074900001,0.071999997,0.075599998,0.091899998,0.075599998,0.123000003,0.107000001,0.101400003,0.107500002,0.109800003,0.105099998,0.113499999,0.097000003,0.096900001,0.099699996,0.097099997,0.099399999,0.090800002,0.091200002,0.1043,0.089599997,0.0722,0.0757,0.076300003,0.076399997,0.071500003,0.073600002,0.076800004,0.075199999
35,20672.3,36.8,0.073200002,0.074199997,0.077500001,0.075099997,0.072300002,0.076300003,0.092299998,0.076399997,0.132300004,0.113200001,0.106200002,0.112499997,0.1162,0.110600002,0.1193,0.101199999,0.103500001,0.106399998,0.102399997,0.104599997,0.094300002,0.094700001,0.110699996,0.091799997,0.072800003,0.076499999,0.076899998,0.077200003,0.071699999,0.074100003,0.076800004,0.075599998
36,21280.3,36.9,0.072400004,0.072499998,0.077100001,0.074900001,0.071800001,0.075300001,0.092500001,0.075199999,0.142000005,0.116099998,0.111400001,0.116899997,0.124799997,0.115800001,0.121600002,0.103,0.109800003,0.112300001,0.106200002,0.108499996,0.098200001,0.097599998,0.112499997,0.092900001,0.071800001,0.075000003,0.075999998,0.075800002,0.071099997,0.072499998,0.075599998,0.075400002
37,21888.3,37.3,0.0722,0.073100001,0.077,0.075300001,0.0722,0.075800002,0.0911,0.075900003,0.157499999,0.124200001,0.118000001,0.124499999,0.135900006,0.126900002,0.127000004,0.1105,0.122400001,0.122900002,0.115099996,0.118600003,0.105300002,0.104199998,0.116400003,0.096000001,0.072300002,0.075900003,0.076200001,0.076800004,0.0713,0.073299997,0.0757,0.075800002
38,22496.3,37.2,0.073100001,0.072999999,0.077500001,0.074900001,0.072499998,0.076200001,0.091300003,0.076099999,0.175400004,0.136099994,0.128000006,0.135199994,0.149499997,0.137700006,0.134200007,0.115000002,0.139300004,0.134900004,0.125499994,0.1294,0.115500003,0.114600003,0.128000006,0.102200001,0.072300002,0.0757,0.076499999,0.076899998,0.072300002,0.074900001,0.0779,0.075800002
39,23104.3,36.7,0.073200002,0.072999999,0.0779,0.075000003,0.073200002,0.076499999,0.093400002,0.076499999,0.200800002,0.151500002,0.140499994,0.149299994,0.170399994,0.153799996,0.143900007,0.123800002,0.161699995,0.148399994,0.1382,0.142800003,0.126900002,0.124600001,0.136600003,0.108499996,0.072300002,0.075599998,0.076499999,0.076499999,0.072499998,0.074600004,0.0779,0.075900003
40,23712.3,37.2,0.072300002,0.073399998,0.078000002,0.075999998,0.071999997,0.0757,0.092399999,0.075999998,0.221300006,0.1655,0.157499999,0.163299993,0.190099999,0.1734,0.153200001,0.129500002,0.183400005,0.168099999,0.156399995,0.155200005,0.138500005,0.134100005,0.146400005,0.115000002,0.072700001,0.076399997,0.077100001,0.077399999,0.0704,0.072099999,0.074900001,0.074900001
41,24320.3,36.9,0.073899999,0.074000001,0.079300001,0.075800002,0.072700001,0.076399997,0.092200004,0.076200001,0.247600004,0.187000006,0.174099997,0.189199999,0.219300002,0.1998,0.171100006,0.140300006,0.210899994,0.213200003,0.199200004,0.181700006,0.155900002,0.150600001,0.157800004,0.123999998,0.073399998,0.076800004,0.077600002,0.077600002,0.071800001,0.073700003,0.077100001,0.075199999
42,24928.4,36.7,0.073100001,0.073200002,0.078299999,0.075300001,0.072499998,0.076099999,0.093000002,0.076099999,0.252000004,0.213599995,0.190200001,0.212300003,0.242899999,0.2245,0.190599993,0.154300004,0.231199995,0.254599988,0.236100003,0.227500007,0.1919,0.177100003,0.179499999,0.132799998,0.072300002,0.075499997,0.0766,0.076300003,0.071400002,0.074000001,0.077100001,0.075199999
43,25536.4,37.1,0.072899997,0.073700003,0.077500001,0.075900003,0.072400004,0.076099999,0.090499997,0.076099999,0.273999989,0.245800003,0.216499999,0.244200006,0.272500008,0.250099987,0.220200002,0.168699995,0.239899993,0.288700014,0.289499998,0.271899998,0.243000001,0.223700002,0.206,0.140900001,0.071800001,0.075499997,0.0757,0.076399997,0.0713,0.074000001,0.076700002,0.075199999
44,26144.4,37.2,0.073600002,0.073700003,0.078299999,0.0757,0.073700003,0.077699997,0.093199998,0.077500001,0.296200007,0.254200011,0.248699993,0.270999998,0.277399987,0.277700007,0.242200002,0.192900002,0.342200011,0.368800014,0.367599994,0.324099988,0.283199996,0.26910001,0.2403,0.167500004,0.073299997,0.076499999,0.077500001,0.077,0.072300002,0.073799998,0.076399997,0.076200001
45,26752.4,36.6,0.072899997,0.073100001,0.077299997,0.074900001,0.071900003,0.076099999,0.091300003,0.076099999,0.317699999,0.268000007,0.254099995,0.284299999,0.292899996,0.277200013,0.262899995,0.221599996,0.354000002,0.373400003,0.382800013,0.406599998,0.369500011,0.319000006,0.300999999,0.184699997,0.073299997,0.0766,0.077500001,0.077200003,0.071199998,0.073299997,0.076499999,0.074500002
46,27360.4,37.1,0.072700001,0.073299997,0.078100003,0.075499997,0.072499998,0.076300003,0.091600001,0.076200001,0.338999987,0.281300008,0.263799995,0.289299995,0.313699991,0.293500006,0.2755,0.248999998,0.354999989,0.373800009,0.382400006,0.4014,0.393400013,0.400000006,0.409500003,0.212500006,0.072800003,0.0766,0.076899998,0.077600002,0.072099999,0.0744,0.077200003,0.076200001
47,27968.4,37.1,0.072899997,0.073200002,0.077500001,0.075099997,0.072899997,0.0766,0.092699997,0.076499999,0.368299991,0.305500001,0.292100012,0.315200001,0.333099991,0.318699986,0.290899992,0.273900002,0.355399996,0.372000009,0.378300011,0.398400009,0.389699996,0.390799999,0.409099996,0.235699996,0.073399998,0.076700002,0.077600002,0.077699997,0.072400004,0.074600004,0.077699997,0.076099999
48,28576.4,36.8,0.072899997,0.073899999,0.077799998,0.076399997,0.072300002,0.076399997,0.092699997,0.076300003,0.361000001,0.326200008,0.318199992,0.33919999,0.381900012,0.344399989,0.314099997,0.274100006,0.3565,0.372500002,0.377999991,0.397399992,0.388099998,0.39199999,0.408800006,0.323500007,0.073200002,0.076899998,0.077399999,0.077799998,0.070900001,0.072800003,0.075099997,0.075800002
49,29184.4,37.1,0.073799998,0.074000001,0.0788,0.075900003,0.073399998,0.077,0.091499999,0.076800004,0.362300009,0.3917,0.335999995,0.347200006,0.370599985,0.391799986,0.334199995,0.285299987,0.35679999,0.371199995,0.376599997,0.394600004,0.386099994,0.389899999,0.408899993,0.333200008,0.073600002,0.076899998,0.0779,0.077799998,0.071999997,0.0748,0.077699997,0.075900003
50,29792.4,37.1,0.0722,0.072700001,0.076300003,0.0744,0.072300002,0.075900003,0.090899996,0.0757,0.359600008,0.372099996,0.363299996,0.388000011,0.364800006,0.373899996,0.352499992,0.306699991,0.355699986,0.370000005,0.374500006,0.393400013,0.383700013,0.387400001,0.404799998,0.336400002,0.072499998,0.075900003,0.076800004,0.076800004,0.071199998,0.072999999,0.0757,0.0757
