Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
dnaA,dnaA,PA14_00010,pae02020,paev02020,paei02020,pau02020,pap02020,pag02020,paf02020,pnc02020,paeb02020,pdk02020,psg02020,,,,,,paes02020,paeu02020,,paec02020,paeo02020
glyQ,glyQ,PA14_00100,pae00970,paev00970,paei00970,pau00970,pap00970,pag00970,paf00970,pnc00970,,pdk00970,psg00970,,,,,,,paeu00970,,paec00970,paeo00970
PA14_01130,PA14,PA14_01130,,,,,,,,,,,,,,,,,,,,,
sltB1,sltB1,PA14_12080,,,,,,,,,,,,,,,,,,,,,
PA14_12090,PA14,PA14_12090,,,,,,,,,,,,,,,,,,,,,
dacC,dacC,PA14_12100,,,,"pau00550,pau01100","pap00550,pap01100","pag00550,pag01100","paf00550,paf01100","pnc00550,pnc01100","paeb00550,paeb01100",,,,,,,,,"paeu00550,paeu01100",,,
PA14_12110,PA14,PA14_12110,,,,,,,,,,,,,,,,,,,,,
lipB,lipB,PA14_12120,"pae00785,pae01100,pae01240","paev00785,paev01100,paev01240","paei00785,paei01100,paei01240","pau00785,pau01100,pau01240",,,,,,,,,,,,,,,,,
lis,lis,PA14_12130,,,,,,,,,,,,,,,,,,,,,
PA14_12140,PA14,PA14_12140,,,,,,,,,,,,,,,,,,,,,
PA14_12150,PA14,PA14_12150,,,,,,,,,,,,,,,,,,,,,
PA14_12160,PA14,PA14_12160,,,,,,,,,,,,,,,,,,,,,
PA14_01140,PA14,PA14_01140,,,,,,,,,,,,,,,,,,,,,
PA14_12180,PA14,PA14_12180,,,,,,,,,,,,,,,,,,,,,
holA,holA,PA14_12200,"pae03030,pae03430,pae03440","paev03030,paev03430,paev03440","paei03030,paei03430,paei03440","pau03030,pau03430,pau03440","pap03030,pap03430,pap03440","pag03030,pag03430,pag03440","paf03030,paf03430,paf03440","pnc03030,pnc03430,pnc03440","paeb03030,paeb03430,paeb03440","pdk03030,pdk03430,pdk03440","psg03030,psg03430,psg03440",,,,,,,"paeu03030,paeu03430,paeu03440",,"paec03030,paec03430,paec03440","paeo03030,paeo03430,paeo03440"
PA14_12210,PA14,PA14_12210,,,,,,,,,,,,,,,,,,,,,
leuS,leuS,PA14_12230,pae00970,paev00970,paei00970,pau00970,pap00970,pag00970,paf00970,pnc00970,paeb00970,,,,,,paem00970,pael00970,,paeu00970,paeg00970,paec00970,paeo00970
PA14_12260,PA14,PA14_12260,,,,,,,,,,,,,,,,,,,,,
PA14_12270,PA14,PA14_12270,,,,,,,,,,,,,,,,,,,,,
lnt,lnt,PA14_12280,,,,,,,,,,,,,,,,,,,,,
PA14_12300,PA14,PA14_12300,,,,,,,,,,,,,,,,,,,,,
PA14_12310,PA14,PA14_12310,,,,,,,,,,,,,,,,,,,,,
PA14_01150,PA14,PA14_01150,,,,,,,,,,,,,,,,,,,,,
PA14_12330,PA14,PA14_12330,,,,,,,,,,,,,,,,,,,,,
PA14_12350,PA14,PA14_12350,,,,,,,,,,,,,,,,,,,,,
PA14_12360,PA14,PA14_12360,,,,,,,,,,,,,,,,,,,,,
PA14_12370,PA14,PA14_12370,,,,,,,,,,,,,,,,,,,,,
hemL,hemL,PA14_12390,"pae00860,pae01100,pae01110,pae01120,pae01240","paev00860,paev01100,paev01110,paev01120,paev01240","paei00860,paei01100,paei01110,paei01120,paei01240","pau00860,pau01100,pau01110,pau01120,pau01240","pap00860,pap01100,pap01110,pap01120,pap01240","pag00860,pag01100,pag01110,pag01120,pag01240","paf00860,paf01100,paf01110,paf01120,paf01240","pnc00860,pnc01100,pnc01110,pnc01120,pnc01240","paeb00860,paeb01100,paeb01110,paeb01120,paeb01240",,,,,,,,,,,,"paeo00860,paeo01100,paeo01110,paeo01120,paeo01240"
thiE,thiE,PA14_12400,"pae00730,pae01100,pae01240","paev00730,paev01100,paev01240","paei00730,paei01100,paei01240","pau00730,pau01100,pau01240","pap00730,pap01100,pap01240","pag00730,pag01100,pag01240","paf00730,paf01100,paf01240","pnc00730,pnc01100,pnc01240","paeb00730,paeb01100,paeb01240","pdk00730,pdk01100,pdk01240","psg00730,psg01100,psg01240",,,,,,,"paeu00730,paeu01100,paeu01240",,,
thiD,thiD,PA14_12410,,,,,,,,,,,,,,,,,,"paeu00730,paeu01100,paeu01240",,,
PA14_12440,PA14,PA14_12440,,,,,,,,,,,,,,,,,,,,,
PA14_01160,PA14,PA14_01160,,,,,,,,,,,,,,,,,,,,,
PA14_12450,PA14,PA14_12450,,,,,,,,,,,,,,,,,,,,,
PA14_12470,PA14,PA14_12470,,,,,,,,,,,,,,,,,,,,,
PA14_12490,PA14,PA14_12490,,,,"pau00230,pau01100",,,,,,,,,,,,,,,,,
PA14_12530,PA14,PA14_12530,,,,,,,,,,,,,,,,,,,,,
PA14_12540,PA14,PA14_12540,,,,,,,,,,,,,,,,,,,,,
PA14_12550,PA14,PA14_12550,,,,,,,,,,,,,,,,,,,,,
PA14_12560,PA14,PA14_12560,,,,,,,,,,,,,,,,,,,,,
PA14_12570,PA14,PA14_12570,,,,,,,,,,,,,,,,,,,,,
PA14_01170,PA14,PA14_01170,,,,,,,,,,,,,,,,,,,,,
PA14_12610,PA14,PA14_12610,,,,,,,,,,,,,,,,,,,,,
PA14_12620,PA14,PA14_12620,,,,,,,,,,,,,,,,,,,,,
PA14_12630,PA14,PA14_12630,,,,,,,,,,,,,,,,,,,,,
PA14_12640,PA14,PA14_12640,,,,,,,,,,,,,,,,,,,,,
PA14_12650,PA14,PA14_12650,,,,,,,,,,,,,,,,,,,,,
PA14_12670,PA14,PA14_12670,,,,,,,,,,,,,,,,,,,,,
PA14_12680,PA14,PA14_12680,,,,,,,,,,,,,,,,,,,,,
PA14_12690,PA14,PA14_12690,,,,,,,,,,,,,,,,,,,,,
PA14_12700,PA14,PA14_12700,,,,,,,,,,,,,,,,,,,,,
PA14_12710,PA14,PA14_12710,,,,"pau00920,pau01100",,,,,,,,,,,,,,,,,
PA14_01180,PA14,PA14_01180,,,,,,,,,,,,,,,,,,,,,
PA14_12730,PA14,PA14_12730,,,,,,,,,,,,,,,,,,,,,
PA14_12740,PA14,PA14_12740,,,,,,,,,,,,,,,,,,,,,
PA14_12750,PA14,PA14_12750,,,,,,,,,,,,,,,,,,,,,
PA14_12760,PA14,PA14_12760,,,,,,,,,,,,,,,,,,,,,
PA14_12770,PA14,PA14_12770,,,,,,,,,,,,,,,,,,,,,
PA14_12780,PA14,PA14_12780,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_12810,PA14,PA14_12810,,,,,,,,,,,,,,,,,,,,,
PA14_12820,PA14,PA14_12820,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_01190,PA14,PA14_01190,,,,"pau00061,pau00780,pau01100,pau01212,pau01240",,,,,,,,,,,,,,,,,
PA14_12840,PA14,PA14_12840,,,,,,,,,,,,,,,,,,,,,
