"AxcQ1","AxcQ2"
"dnaA",-0.0493131095406772,-0.111539659193755
"glyQ",-0.048613933967361,-0.00270969036266921
"dacC",0.0771068808019141,0.030151049932857
"lipB",0.0374951881535223,-0.0515756557596487
"holA",-0.00574501751692636,0.118015155175055
"leuS",-0.048613933967361,-0.00270969036266921
"hemL",0.0837132300887013,-0.0879979940158494
"thiE",0.0173547492390579,0.044401798699905
"thiD",0.0173547492390579,0.044401798699905
"PA14_12490",-0.000654542253394711,0.031793782800752
"PA14_12710",0.0905983025855055,0.170804800874207
"PA14_12780",-0.0493131095406772,-0.111539659193755
"PA14_12820",-0.0493131095406772,-0.111539659193755
"PA14_01190",0.143512157822559,0.242108754243917
"tesB",-0.135470780201961,0.0918226358322318
"PA14_12920",0.114901272995329,0.158144708893919
"PA14_12940",0.114901272995329,0.158144708893919
"PA14_12960",0.114901272995329,0.158144708893919
"tauD",0.0959744382774981,-0.0413439021801007
"PA14_13010",-0.00667639796129716,-0.0119093172452357
"PA14_13090",0.558514479722889,-0.178407767876395
"moaC",0.0554151547568956,0.0893945870569374
"moaD",-0.0391401385615817,0.0338074798093429
"moaE",0.0554151547568956,0.0893945870569374
"moaB1",0.0554151547568956,0.0893945870569374
"tag",-0.0443462058800071,0.0436132080602524
"PA14_01240",-0.0282821554796367,-0.198236947791419
"PA14_13330",0.0452421837778002,-0.0559525519461609
"PA14_13450",-0.0493131095406772,-0.111539659193755
"PA14_13460",-0.0493131095406772,-0.111539659193755
"PA14_13580",-0.00667639796129716,-0.0119093172452357
"PA14_13590",-0.00667639796129716,-0.0119093172452357
"PA14_13600",-0.00667639796129716,-0.0119093172452357
"PA14_13610",-0.00667639796129716,-0.0119093172452357
"narL",-0.0493131095406772,-0.111539659193755
"narX",-0.0493131095406772,-0.111539659193755
"narK1",-0.0697119215521055,-0.207867196239403
"narK2",-0.0697119215521055,-0.207867196239403
"narG",0.0349094382289367,-0.31937546527328
"narH",0.0349094382289367,-0.31937546527328
"moaA",0.0554151547568956,0.0893945870569374
"coxA",-0.0377416418552575,-0.0107744452264108
"PA14_01310",-0.0377416418552575,-0.0107744452264108
"PA14_14100",-0.00667639796129716,-0.0119093172452357
"pcs",-0.0228596886167148,0.05259705496559
"coIII",-0.0377416418552575,-0.0107744452264108
"valS",-0.048613933967361,-0.00270969036266921
"holC",-0.00574501751692636,0.118015155175055
"pepA",-0.0055220656243227,0.000382040415011187
"PA14_14500",-0.00667639796129716,-0.0119093172452357
"PA14_14510",-0.00667639796129716,-0.0119093172452357
"PA14_00120",0.00816160214220761,0.0373068483260087
"secD",-0.141577979961039,-0.00644757752532808
"secF",-0.141577979961039,-0.00644757752532808
"cysE",0.215260896280678,0.275718673794977
"PA14_01360",0.0599514127018165,-0.183705067457101
"ndk",0.0225241006692205,0.086958892719653
"hisS",-0.048613933967361,-0.00270969036266921
"PA14_01380",0.0368553877989039,-0.0810448819762764
"PA14_14960",-0.0312363169950576,-0.054199098426121
"leuA",0.338452083078485,0.0203059114336743
"PA14_15160",0.0981294678156023,-0.0722104376958853
"xseA",-0.0541612665573767,0.0360100395019704
"guaB",0.0358160123530048,0.057430765057673
"guaA",-0.000654542253394711,0.031793782800752
"trbJ",-0.172904168461341,0.0212661207259741
"PA14_01460",-0.0493131095406772,-0.111539659193755
"purL",0.0358160123530048,0.057430765057673
"PA14_15820",-0.0237829186986778,0.0272813034702486
"purT",0.0358160123530048,0.057430765057673
"ffh",-0.242073013978791,0.0236980169135766
"rpsP",-0.132202033019053,-0.0286609071157293
"rplS",-0.132202033019053,-0.0286609071157293
"hom",0.200887823119439,0.175535443376259
"thrC",0.192816388132033,0.0158159603459585
"recJ",0.00279273598382503,0.123723513986386
"lasB",-0.22903385809549,0.130985180529084
"PA14_16280",-0.116658538489729,0.0544666341695558
"PA14_16350",-0.0493131095406772,-0.111539659193755
"PA14_16360",0.0560323480093347,0.0890595767941163
"wspA",-0.170939242176252,-0.0644909479218659
"PA14_16440",-0.170939242176252,-0.0644909479218659
"wspC",-0.0493131095406772,-0.111539659193755
"wspD",-0.170939242176252,-0.0644909479218659
"PA14_16470",-0.170939242176252,-0.0644909479218659
"wspF",-0.170939242176252,-0.0644909479218659
"wspR",-0.170939242176252,-0.0644909479218659
"lysS",-0.048613933967361,-0.00270969036266921
"adk",0.0841501299631836,0.101081789022525
"plsB",0.0494064002935416,-0.0190482601588537
"PA14_01600",0.220328832123199,0.101180719704893
"dapD",0.152081297876474,0.0408441369391717
"rpsB",-0.132202033019053,-0.0286609071157293
"pyrH",-0.0442712800549052,0.0302789023970326
"uppS",0.0861571094422202,0.0761869730206024
"cdsA",0.0185700774557541,0.0622273034135731
"aptA",0.179629139873944,0.0991821280148605
"lpxD",0.00816160214220761,0.0373068483260087
"fabZ",0.143512157822559,0.242108754243917
"lpxA",-0.047968087491942,0.147025908129118
"lpxB",0.00816160214220761,0.0373068483260087
"rnhB",-0.0528839593807586,0.0379048492489215
"dnaE",-0.00574501751692636,0.118015155175055
"accA",0.390410133230726,0.104821899237744
"kdsA",0.00816160214220761,0.0373068483260087
"eno",0.28247522952168,0.0361826417939072
"ispD",0.019500626341654,0.0564169462707812
"PA14_01660",-0.000654542253394711,0.031793782800752
"surE",0.00621447796785127,0.106134772920599
"mutS",-0.0541612665573767,0.0360100395019704
"recA",-0.0435180604659706,0.0263413189983017
"potD",-0.00667639796129716,-0.0119093172452357
"potC",-0.00667639796129716,-0.0119093172452357
"potB",-0.107171431979048,0.0182362771936689
"potA",-0.107171431979048,0.0182362771936689
"rpmE2",-0.132202033019053,-0.0286609071157293
"PA14_01670",-0.00667639796129716,-0.0119093172452357
"rpmJ",-0.132202033019053,-0.0286609071157293
"PA14_01680",-0.00667639796129716,-0.0119093172452357
"PA14_17860",0.147423003347936,0.091893332767702
"glpK",-0.000143045533333444,-0.0805247888373742
"PA14_18010",-0.000143045533333444,-0.0805247888373742
"mmsA",0.220328832123199,0.101180719704893
"mmsB",0.0431158296283847,0.0425007785199015
"PA14_18150",0.0453703603125193,0.00199676996236411
"fruK",0.0414504430989349,-0.00843345448144283
"fruA",0.0815460119045957,-0.0269117864824792
"PA14_18300",0.0439369573776771,0.295497379954039
"PA14_18310",-0.128538824077739,0.100839586090179
"PA14_18320",-0.128538824077739,0.100839586090179
"arnT",-0.0893978535644108,0.137395659681135
"algA",-0.175902570347276,0.164784534575409
"algL",-0.018128231699425,0.0085575783534393
"algG",-0.018128231699425,0.0085575783534393
"alg8",-0.018128231699425,0.0085575783534393
"algD",0.0121642428759308,-0.0675720783921895
"PA14_18600",-0.00667639796129716,-0.0119093172452357
"argF",0.1026318558926,-0.072938913546919
"nuh",-0.00724037358215272,0.0609469801549672
"bfrB",-0.0440064507684391,-0.114764209872986
"pyrC",-0.0442712800549052,0.0302789023970326
"PA14_18720",-0.0842181172640249,-0.126538831277624
"argG",0.102374907268664,-0.127888786708093
"gloA1",0.0386478879712101,-0.0459362864783502
"PA14_18830",0.0452828551016793,0.0124582090497683
"PA14_18850",0.0452828551016793,0.0124582090497683
"metG",0.119159839655386,0.144898199611289
"dcd",-0.0539950714275164,0.0203015852437637
"rhlA",-0.294530301096916,0.0683148319978636
"rhlB",-0.294530301096916,0.0683148319978636
"rhlR",-0.294530301096916,0.0683148319978636
"rhlI",-0.269976891856218,0.0498206446476752
"pheC",0.0810648905397752,0.062040659940212
"PA14_01800",-0.00667639796129716,-0.0119093172452357
"PA14_19370",0.0458206525974073,-0.0133260081626308
"PA14_01830",-0.000654542253394711,0.031793782800752
"PA14_19500",0.114901272995329,0.158144708893919
"PA14_19510",0.114901272995329,0.158144708893919
"PA14_19520",0.114901272995329,0.158144708893919
"ssuD",0.0905983025855055,0.170804800874207
"folX",-0.0290073985701925,0.0271000679334119
"folE1",0.0221461588748876,0.046707633534664
"PA14_19640",0.0347930600451526,0.112706799782029
"PA14_19740",0.545509208128349,0.34781056490881
"ldh",0.203393896381151,0.0716012479144737
"PA14_19900",0.155936112918424,0.0693837560041339
"PA14_19910",0.155936112918424,0.0693837560041339
"PA14_20000",-0.0493131095406772,-0.111539659193755
"hasD",-0.00667639796129716,-0.0119093172452357
"nosY",-0.00667639796129716,-0.0119093172452357
"nosF",-0.00667639796129716,-0.0119093172452357
"phnC",-0.00667639796129716,-0.0119093172452357
"phnG",-0.123264693853866,0.100255371396024
"phnH",-0.123264693853866,0.100255371396024
"phnI",-0.123264693853866,0.100255371396024
"phnJ",-0.123264693853866,0.100255371396024
"phnL",-0.123264693853866,0.100255371396024
"phnM",-0.123264693853866,0.100255371396024
"phnN",0.000382567032461388,0.0104549159996935
"phnP",-0.123264693853866,0.100255371396024
"amiE",0.0872853867169984,0.0381144348776439
"amiC",-0.107171431979048,0.0182362771936689
"dsdA",0.0213289840001288,0.0352693492325656
"PA14_20670",0.204281504976035,-0.504464445340971
"flgM",-0.182748224996687,-0.18215030548656
"flgA",-0.0842181172640249,-0.126538831277624
"PA14_20750",-0.040255083631466,-0.141267117577856
"PA14_20760",-0.040255083631466,-0.141267117577856
"PA14_20770",-0.170939242176252,-0.0644909479218659
"PA14_20780",-0.170939242176252,-0.0644909479218659
"rfaD",0.00816160214220761,0.0373068483260087
"plcN",-0.139799517592812,0.0516606175050301
"PA14_21140",-0.00667639796129716,-0.0119093172452357
"PA14_21150",-0.00667639796129716,-0.0119093172452357
"PA14_21160",-0.00667639796129716,-0.0119093172452357
"fadD2",0.0509067955956084,0.0437569042479071
"fadD1",0.0509067955956084,0.0437569042479071
"phoA",0.0838525100153678,-0.0222788451345774
"PA14_21450",-0.124568521112034,0.00725666400400901
"PA14_21910",-0.172904168461341,0.0212661207259741
"PA14_02110",-0.194035267079164,0.0381692375589589
"PA14_22380",-0.00574501751692636,0.118015155175055
"ppiA",-0.128538824077739,0.100839586090179
"PA14_22510",0.177770321351972,0.0380772600975237
"PA14_22530",-0.0055220656243227,0.000382040415011187
"PA14_22540",0.065572142991962,0.0791159457473292
"cyaB",-0.12228067488897,0.0788424940726415
"PA14_22670",-0.00667639796129716,-0.0119093172452357
"cpxR",-0.105442799174827,-0.00182059939064569
"gapA",0.239431191145359,-0.041470252179162
"edd",0.0879605728698531,-4.00510256811334e-05
"glk",-0.0434553684708785,0.201982173474123
"PA14_22980",-0.00667639796129716,-0.0119093172452357
"PA14_22990",-0.00667639796129716,-0.0119093172452357
"PA14_23000",-0.00667639796129716,-0.0119093172452357
"gltK",0.0164196269416154,-0.114569502726061
"zwf",0.149888430223051,0.0252281969111984
"pgl",0.124431127476252,0.0255969312312398
"PA14_23170",-0.00900638402098326,0.0324490492722931
"serC",0.266016735537796,0.101885284745222
"pheA",0.0810648905397752,0.062040659940212
"hisC2",0.163302131638966,-0.0108095463823603
"PA14_23310",0.0899110625440746,0.0838907431763197
"cmk",-0.0539950714275164,0.0203015852437637
"PA14_02270",-0.040255083631466,-0.141267117577856
"rpsA",-0.132202033019053,-0.0286609071157293
"orfM",-0.110794578662239,0.0577615086930155
"wbpM",-0.152224344734708,0.0481312602450324
"tyrB",0.101356765554144,0.0320279287630525
"uvrB",-0.0455214439994952,0.0201246959026674
"gltX",0.209491937122887,0.000503953940336692
"kdgA",0.160448918583566,-0.0308524873933058
"leuC",0.352518956080481,0.080817255789983
"leuD",0.352518956080481,0.080817255789983
"leuB",0.352518956080481,0.080817255789983
"asd",0.528246137578654,0.314638435772987
"trpF",0.0810648905397752,0.062040659940212
"folC",0.0221461588748876,0.046707633534664
"purF",0.035559063729068,0.0024808918964994
"metZ",0.0506259208508212,0.245340550556861
"PA14_02340",0.114901272995329,0.158144708893919
"xcpQ",-0.124568521112034,0.00725666400400901
"xcpS",-0.124568521112034,0.00725666400400901
"xcpT",-0.124568521112034,0.00725666400400901
