,ip_rhamn.0,ip_rhamn.1,ip_rhamn.2
pau01053,118.207441213212,-37.246981646462416,-18.13947032818853
pau00053,77.26521417791722,-22.86328451404784,-12.650312527299018
pau00261,65.76792323448564,-21.93143950584152,-9.445841889208216
pau00471,49.36449784658668,-5.2647554741580755,-13.082263324758882
pau00920,43.03547986747296,-31.73447497625737,3.1225738626841686
pau00450,41.841416981306985,-25.77797686967636,0.31931751549278253
pau01502,39.772245437754904,-7.365836909047129,-8.868200231469887
pau00290,30.60075393395842,-0.6236854771828073,-9.522464814814015
pau00550,28.772692852616572,-5.426088918401214,-6.363466017958359
pau00300,28.65318757821223,-8.071876670315028,-4.908976925538781
pau00061,26.918009656314464,-11.759150427074896,-2.3767005659064777
pau00791,26.107028529498624,-1.8509872395262574,-7.418233485267177
pau01210,25.39136045288253,-3.9517858175815634,-6.063397588549131
pau00473,24.520167469239315,-7.007465116318126,-4.14742639369832
pau00903,21.849824633486556,-16.09714812517729,1.5773708662770858
pau00660,21.652493011751414,-2.552540102352776,-5.608000109305321
pau00280,21.50054692728915,-7.771311681080801,-2.7660285672013205
pau01212,20.242123649317435,-13.00004206179084,0.4376601488984724
pau00592,19.522692996214527,-20.41194140194824,4.636152476867654
pau00410,19.221547436757415,-10.396698203999469,-0.6269024239996766
pau00640,18.65911933246379,-0.21875368119582858,-5.8928763518739835
pau00650,17.709978424793476,-11.081487865804348,0.22645382455591445
pau00770,16.478937904389056,-1.3504405692385364,-4.5849908336603
pau03018,16.357504796021434,-9.577111390412716,-0.14305164952654215
pau00130,15.803193635500923,-8.013470309804017,-0.8013565658860657
pau02010,15.605096465908042,0.5571236558683463,-5.324441641519362
pau00260,15.439316334338029,-6.37654673771544,-1.5602186923024912
pau00630,15.323716493598802,5.643329720149348,-7.955894724693913
pau02060,13.572894875040708,3.1991618671437014,-6.0838766911321915
pau00790,13.532667319098474,-6.733231802311682,-0.7552084635571279
pau00620,13.196475792879754,8.384174406683071,-8.73759862062862
pau00680,13.192912999711671,1.1887646441748134,-4.885544439044889
pau00540,12.360211837946565,-6.756396828611067,-0.365172387730885
pau00730,12.156912807939941,-6.297619675190459,-0.5452240631918475
pau04122,11.557148313463989,-8.01569092481218,0.5674486417652203
pau00670,11.328738018604453,-14.214101392235584,3.9583409805987095
pau03410,10.986720908085076,-9.842084156226026,1.7286448787192357
pau01200,10.808530841476912,-1.295968730585981,-2.787751459520836
pau00780,10.731847126979027,-18.21121034425868,6.289804815613671
pau00750,10.333573977265369,7.840159062022836,-7.524329951329735
pau00400,10.158904883710344,-3.7831495701808144,-1.247399524298657
pau00785,9.946032654173287,11.749733858622708,-9.49186880753565
pau01230,9.891295250980438,-2.503147080676905,-1.8462483256250384
pau03440,9.773104245629035,-6.531790247108498,0.3479069343414767
pau00230,9.534898508594216,-5.593819835032672,-0.07736069994549055
pau00360,9.357780216538448,-9.301403507318646,1.9639469408598882
pau00330,9.136454940635938,-6.125746852019716,0.33565641306837035
pau03420,8.896693081700702,-5.430649321956354,0.04087297156489722
pau03030,8.374872220531469,-8.720283218386381,1.9695242473582721
pau00030,8.301852956829833,-1.76289346553753,-1.7304777019046524
pau01110,7.993254085291356,-3.4787661126679303,-0.7127637510506881
pau03430,7.899847224874108,-8.350958498022383,1.924867290457806
pau00340,7.859308952462205,-5.921756215694057,0.6378411618533275
pau01120,7.053947577107487,2.8519930330743706,-3.7983755814891467
pau00010,7.032756387458501,7.368963855565686,-6.208984725176277
pau00332,6.942791797904854,-7.1519398973874075,1.5914251017026495
pau00281,6.819286566238048,-14.280870480866641,5.446532821609618
pau00970,6.247208734656348,-1.126938196952589,-1.4090499467305493
pau00480,6.1939904316855126,0.07095886489585927,-2.03301050641073
pau00564,5.985004007812039,-6.719385981946426,1.6684225336842653
pau00310,5.973726864648823,2.891129598760815,-3.4713907247156004
pau00900,5.775216420359879,-5.630072437773606,1.1530044122448528
pau01100,5.681950421775952,-0.9256303124666917,-1.3347226637717846
pau00020,5.435504676684082,-5.005393695223858,0.9281014026492616
pau00220,5.299212051468228,21.19425847996966,-13.049774524193497
pau00401,3.8685933715154617,-4.099002146832503,0.9476997259620024
pau00051,3.7804570966810442,-1.4565973002226966,-0.438099212775205
pau00520,3.7675258796535047,-4.917279973866292,1.4181863192598954
pau00930,3.604336691165083,-13.862683549028054,6.258232909650023
pau00740,2.9990128847780255,-1.0682286374340113,-0.39425314058218325
pau01240,2.9677751476459404,-1.7441961661513405,-0.022421100170550323
pau00362,2.907980474813432,1.5795868405999214,-1.7820149699704402
pau00627,2.5990333300380337,-7.98939498299779,3.438711509960024
pau00643,2.3593550888220873,-0.46896908628292394,-0.5089418792441267
pau00561,1.493755013918494,15.193998955134637,-8.612792716389912
pau00760,0.5769564675528369,-5.465254698514076,2.739113081625224
pau00380,0.21974919675156457,13.407163637372886,-7.246150553669292
pau02030,-0.004951501321400986,5.485215568521537,-2.93403408659961
pau00860,-0.9693948156265124,19.650727822725784,-10.204625936760237
pau00071,-1.5085871321703808,22.66275925343126,-11.642963592302829
pau00052,-1.769221643637494,-5.554746587872589,3.5426931267825372
pau02020,-1.8935175282415555,17.729264136026934,-8.87862661554774
pau00562,-2.1523019597612287,1.1252445806541318,0.09102009410239897
pau00190,-2.4572652175336382,2.072556729886451,-0.3177450824174848
pau00430,-3.753951355035227,38.05675002216243,-19.158449818508593
pau00250,-4.152117623435743,10.080279867058346,-4.057494966966171
pau00270,-4.193812645109877,-13.676741914206213,8.670439577680343
pau00240,-4.206822298592826,-3.6349982063004047,3.3003956480407846
pau00521,-5.129092410678015,-9.891669815085898,6.945955348101526
pau03060,-5.162663698580544,2.5106913408401703,0.3191568493141872
pau01503,-5.572567268054742,-20.350438063429102,12.686216326572449
pau01501,-6.11763997216963,-11.718531332929423,8.242075317835436
pau00350,-6.169145251833599,32.97208685921703,-15.659277908609907
pau01040,-8.078443895600314,-18.96142637286906,12.749954606618168
pau00622,-10.343811586079594,12.340551213497493,-3.2728737034832025
pau03070,-11.383209537255683,-2.9336875742861546,5.236517791774544
pau02040,-11.590631921348747,21.501516459767622,-7.774133972466789
pau03010,-13.607023756438286,3.071442328091517,2.7389087776208956
pau00460,-14.221425216379291,-9.098968553799901,9.450276727585116
