Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.963"			"PATRIC.287.6628.287.6628.con.0001.CDS.1000375.1001268.rev"	"PATRIC"	"CDS"	1000375	1001268	894	"-"	"FIG00953094"	"PLF_286_00005492"	"PGF_08964051"		297		"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.964"			"PATRIC.287.6628.287.6628.con.0001.CDS.1001318.1001779.rev"	"PATRIC"	"CDS"	1001318	1001779	462	"-"	"FIG00001650"	"PLF_286_00003720"	"PGF_00039861"		153		"Acetyltransferase"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.965"			"PATRIC.287.6628.287.6628.con.0001.CDS.1001942.1002763.rev"	"PATRIC"	"CDS"	1001942	1002763	822	"-"	"FIG00015941"	"PLF_286_00000349"	"PGF_00424869"		273		"Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)"	"GO:0008851|ethanolamine ammonia-lyase activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.966"			"PATRIC.287.6628.287.6628.con.0001.CDS.1002774.1004168.rev"	"PATRIC"	"CDS"	1002774	1004168	1395	"-"	"FIG00003375"	"PLF_286_00000186"	"PGF_00424868"		464		"Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)"	"GO:0008851|ethanolamine ammonia-lyase activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.967"			"PATRIC.287.6628.287.6628.con.0001.CDS.1004226.1005674.rev"	"PATRIC"	"CDS"	1004226	1005674	1449	"-"	"FIG00003466"	"PLF_286_00001542"	"PGF_04116999"		482		"Ethanolamine permease"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.968"			"PATRIC.287.6628.287.6628.con.0001.CDS.1005884.1007404.rev"	"PATRIC"	"CDS"	1005884	1007404	1521	"-"	"FIG01292786"	"PLF_286_00000022"	"PGF_07597988"		506		"Aldehyde dehydrogenase (EC 1.2.1.3)"	"GO:0004029|aldehyde dehydrogenase (NAD) activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.969"			"PATRIC.287.6628.287.6628.con.0001.CDS.1007743.1009674.fwd"	"PATRIC"	"CDS"	1007743	1009674	1932	"+"	"FIG01304230"	"PLF_286_00033207"	"PGF_06587458"		643		"sigma-54-dependent transcriptional regulator"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.970"			"PATRIC.287.6628.287.6628.con.0001.CDS.1009832.1011187.fwd"	"PATRIC"	"CDS"	1009832	1011187	1356	"+"	"FIG00002492"	"PLF_286_00000199"	"PGF_00064004"		451		"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)"	"GO:0008766|UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity;GO:0008766|ribosomal S6-glutamic acid ligase activity;GO:0008766|coenzyme F420-0 gamma-glutamyl ligase activity;GO:0008766|coenzyme F420-2 alpha-glutamyl ligase activity;GO:0008766|protein-glycine ligase activity;GO:0008766|protein-glycine ligase activity, initiating;GO:0008766|protein-glycine ligase activity, elongating;GO:0008766|tubulin-glycine ligase activity;GO:0008766|protein-glutamic acid ligase activity;GO:0008766|tubulin-glutamic acid ligase activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.971"			"PATRIC.287.6628.287.6628.con.0001.CDS.1011196.1011825.fwd"	"PATRIC"	"CDS"	1011196	1011825	630	"+"	"FIG00000573"	"PLF_286_00001079"	"PGF_08473931"		209		"Flavin prenyltransferase UbiX"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.972"			"PATRIC.287.6628.287.6628.con.0001.CDS.1011827.1012102.fwd"	"PATRIC"	"CDS"	1011827	1012102	276	"+"	"FIG00947911"	"PLF_286_00002478"	"PGF_06919539"		91		"hypothetical protein"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.973"			"PATRIC.287.6628.287.6628.con.0001.CDS.1012122.1012763.rev"	"PATRIC"	"CDS"	1012122	1012763	642	"-"	"FIG00905558"	"PLF_286_00005143"	"PGF_03331199"		213		"Uncharacterized protein YraR"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.974"			"PATRIC.287.6628.287.6628.con.0001.CDS.1012810.1014549.rev"	"PATRIC"	"CDS"	1012810	1014549	1740	"-"	"FIG00954052"	"PLF_286_00056631"	"PGF_00410111"		579		"putative phosphatidylinositol-4-phosphate 5-kinase"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.975"			"PATRIC.287.6628.287.6628.con.0001.CDS.1014740.1015195.rev"	"PATRIC"	"CDS"	1014740	1015195	456	"-"	"FIG01303815"	"PLF_286_00002392"	"PGF_01389504"		151		"Acyl dehydratase"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.976"			"PATRIC.287.6628.287.6628.con.0001.CDS.1015341.1015751.fwd"	"PATRIC"	"CDS"	1015341	1015751	411	"+"	"FIG00000832"	"PLF_286_00000968"	"PGF_00059509"		136		"Antiholin-like protein LrgA"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.977"			"PATRIC.287.6628.287.6628.con.0001.CDS.1015751.1016461.fwd"	"PATRIC"	"CDS"	1015751	1016461	711	"+"	"FIG00000822"	"PLF_286_00000099"	"PGF_00017655"		236		"LrgA-associated membrane protein LrgB"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.978"			"PATRIC.287.6628.287.6628.con.0001.CDS.1016481.1017074.fwd"	"PATRIC"	"CDS"	1016481	1017074	594	"+"	"FIG00138231"	"PLF_286_00436660"	"PGF_02866109"		197		"Uncharacterized protein, similar to the N-terminal domain of Lon protease"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.979"			"PATRIC.287.6628.287.6628.con.0001.CDS.1017085.1018398.rev"	"PATRIC"	"CDS"	1017085	1018398	1314	"-"	"FIG00638284"	"PLF_286_00003106"	"PGF_06833838"		437		"putative membrane-associated phospholipid phosphatase, PAP2 superfamily"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.980"			"PATRIC.287.6628.287.6628.con.0001.CDS.1018395.1019114.rev"	"PATRIC"	"CDS"	1018395	1019114	720	"-"	"FIG00001134"	"PLF_286_00002847"	"PGF_00419930"		239		"3-methyladenine DNA glycosylase"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.981"			"PATRIC.287.6628.287.6628.con.0001.CDS.1019178.1020035.fwd"	"PATRIC"	"CDS"	1019178	1020035	858	"+"	"FIG01313020"	"PLF_286_00002817"	"PGF_00026617"		285		"O-Methyltransferase involved in polyketide biosynthesis"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.982"			"PATRIC.287.6628.287.6628.con.0001.CDS.1020043.1021266.rev"	"PATRIC"	"CDS"	1020043	1021266	1224	"-"	"FIG00638284"	"PLF_286_00002871"	"PGF_12895065"		407		"Putative hydrolase"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.8"			"PATRIC.287.6628.287.6628.con.0001.CDS.10202.11029.rev"	"PATRIC"	"CDS"	10202	11029	828	"-"	"FIG01306568"	"PLF_286_00000009"	"PGF_00839140"		275		"Transposase InsO for insertion sequence element IS911"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.983"			"PATRIC.287.6628.287.6628.con.0001.CDS.1021564.1022829.fwd"	"PATRIC"	"CDS"	1021564	1022829	1266	"+"	"FIG00000365"	"PLF_286_00000525"	"PGF_05387084"		421		"Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"	"GO:0004350|glutamate-5-semialdehyde dehydrogenase activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.984"			"PATRIC.287.6628.287.6628.con.0001.CDS.1022829.1023473.fwd"	"PATRIC"	"CDS"	1022829	1023473	645	"+"		"PLF_286_00000656"	"PGF_08432396"		214		"Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)"	"GO:0004515|nicotinate-nucleotide adenylyltransferase activity"
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.985"			"PATRIC.287.6628.287.6628.con.0001.CDS.1023496.1023852.fwd"	"PATRIC"	"CDS"	1023496	1023852	357	"+"	"FIG00135315"	"PLF_286_00001948"	"PGF_00435430"		118		"Ribosomal silencing factor RsfA"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.986"			"PATRIC.287.6628.287.6628.con.0001.CDS.1023860.1024327.fwd"	"PATRIC"	"CDS"	1023860	1024327	468	"+"		"PLF_286_00000854"	"PGF_07480521"		155		"23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)"	
"Pseudomonas aeruginosa T38079"	"287.6628"	"287.6628.con.0001"	"fig|287.6628.peg.987"			"PATRIC.287.6628.287.6628.con.0001.CDS.1024340.1026280.fwd"	"PATRIC"	"CDS"	1024340	1026280	1941	"+"	"FIG00143531"	"PLF_286_00000027"	"PGF_10376398"		646		"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
