Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.959"			"PATRIC.287.6612.287.6612.con.0001.CDS.1000934.1001941.rev"	"PATRIC"	"CDS"	1000934	1001941	1008	"-"	"FIG00961805"	"PLF_286_00003666"	"PGF_08225224"		335		"hypothetical protein"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.960"			"PATRIC.287.6612.287.6612.con.0001.CDS.1001943.1003745.rev"	"PATRIC"	"CDS"	1001943	1003745	1803	"-"	"FIG00007843"	"PLF_286_00002908"	"PGF_08107843"		600		"Gliding motility-associated ABC transporter substrate-binding protein GldG"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.961"			"PATRIC.287.6612.287.6612.con.0001.CDS.1003755.1004489.rev"	"PATRIC"	"CDS"	1003755	1004489	735	"-"	"FIG00004542"	"PLF_286_00004591"	"PGF_06759389"		244		"Gliding motility-associated ABC transporter permease protein GldF"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.962"			"PATRIC.287.6612.287.6612.con.0001.CDS.1004486.1005412.rev"	"PATRIC"	"CDS"	1004486	1005412	927	"-"	"FIG00001005"	"PLF_286_00004416"	"PGF_02759160"		308		"Gliding motility-associated ABC transporter ATP-binding protein GldA"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.963"			"PATRIC.287.6612.287.6612.con.0001.CDS.1005817.1008117.rev"	"PATRIC"	"CDS"	1005817	1008117	2301	"-"	"FIG01225284"	"PLF_286_00002118"	"PGF_10504551"		766		"Two-component system sensor histidine kinase"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.92"			"PATRIC.287.6612.287.6612.con.0001.CDS.100709.101389.rev"	"PATRIC"	"CDS"	100709	101389	681	"-"	"FIG00019954"	"PLF_286_00001800"	"PGF_07284942"		226		"T6SS associated component TagF (ImpM)"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.964"			"PATRIC.287.6612.287.6612.con.0001.CDS.1008136.1009137.rev"	"PATRIC"	"CDS"	1008136	1009137	1002	"-"	"FIG01314307"	"PLF_286_00003171"	"PGF_00017755"		333		"LysM domain protein"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.965"			"PATRIC.287.6612.287.6612.con.0001.CDS.1009303.1009992.rev"	"PATRIC"	"CDS"	1009303	1009992	690	"-"	"FIG00008396"	"PLF_286_00007148"	"PGF_01427545"		229		"Aquaporin Z"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.966"			"PATRIC.287.6612.287.6612.con.0001.CDS.1010339.1010608.rev"	"PATRIC"	"CDS"	1010339	1010608	270	"-"	"FIG00962993"	"PLF_286_00004606"	"PGF_00359742"		89		"hypothetical protein"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.967"			"PATRIC.287.6612.287.6612.con.0001.CDS.1010803.1011519.fwd"	"PATRIC"	"CDS"	1010803	1011519	717	"+"	"FIG01956054"	"PLF_286_00001678"	"PGF_07420062"		238		"Two-component transcriptional response regulator, OmpR family"	
"Pseudomonas aeruginosa F5677"	"287.6612"	"287.6612.con.0001"	"fig|287.6612.peg.968"			"PATRIC.287.6612.287.6612.con.0001.CDS.1011611.1012138.rev"	"PATRIC"	"CDS"	1011611	1012138	528	"-"	"FIG00000429"	"PLF_286_00000079"	"PGF_01922063"		175		"Inorganic pyrophosphatase (EC 3.6.1.1)"	"GO:0004427|inorganic diphosphatase activity"
