Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.985"			"PATRIC.287.6657.NC_009656.CDS.1001292.1002017.rev"	"PATRIC"	"CDS"	1001292	1002017	726	"-"	"FIG00621114"	"PLF_286_00004751"	"PGF_10532194"		241		"Oxidoreductase, short-chain dehydrogenase/reductase family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.88"			"PATRIC.287.6657.NC_009656.CDS.100186.101205.rev"	"PATRIC"	"CDS"	100186	101205	1020	"-"	"FIG00638284"	"PLF_286_00015512"	"PGF_03413384"		339		"Phage integrase"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.986"			"PATRIC.287.6657.NC_009656.CDS.1002032.1003090.rev"	"PATRIC"	"CDS"	1002032	1003090	1059	"-"	"FIG00053044"	"PLF_286_00002833"	"PGF_07980447"		352		"Threonine dehydrogenase and related Zn-dependent dehydrogenases"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.987"			"PATRIC.287.6657.NC_009656.CDS.1003087.1004397.rev"	"PATRIC"	"CDS"	1003087	1004397	1311	"-"	"FIG00458455"	"PLF_286_00002571"	"PGF_09996723"		436		"Uncharacterized MFS-type transporter"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.988"			"PATRIC.287.6657.NC_009656.CDS.1004417.1004950.rev"	"PATRIC"	"CDS"	1004417	1004950	534	"-"	"FIG01392915"	"PLF_286_00002390"	"PGF_03020620"		177		"2,4'-dihydroxyacetophenone dioxygenase"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.989"			"PATRIC.287.6657.NC_009656.CDS.1005263.1006222.fwd"	"PATRIC"	"CDS"	1005263	1006222	960	"+"	"FIG00510130"	"PLF_286_00002474"	"PGF_01671660"		319		"Transcriptional regulator, AraC family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.990"			"PATRIC.287.6657.NC_009656.CDS.1006266.1006682.fwd"	"PATRIC"	"CDS"	1006266	1006682	417	"+"	"FIG00959061"	"PLF_286_00003758"	"PGF_08225224"		138		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.991"			"PATRIC.287.6657.NC_009656.CDS.1006716.1007228.rev"	"PATRIC"	"CDS"	1006716	1007228	513	"-"	"FIG00001471"	"PLF_286_00002886"	"PGF_01052498"		170		"4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.992"			"PATRIC.287.6657.NC_009656.CDS.1007258.1008820.rev"	"PATRIC"	"CDS"	1007258	1008820	1563	"-"	"FIG00138613"	"PLF_286_00002529"	"PGF_00701895"		520		"4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9)"	"GO:0052881|4-hydroxyphenylacetate 3-monooxygenase activity"
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.993"			"PATRIC.287.6657.NC_009656.CDS.1008820.1008939.rev"	"PATRIC"	"CDS"	1008820	1008939	120	"-"	"FIG00638284"				39		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.994"			"PATRIC.287.6657.NC_009656.CDS.1008978.1009268.rev"	"PATRIC"	"CDS"	1008978	1009268	291	"-"	"FIG00953823"	"PLF_286_00003362"	"PGF_08225224"		96		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.995"			"PATRIC.287.6657.NC_009656.CDS.1009605.1010366.rev"	"PATRIC"	"CDS"	1009605	1010366	762	"-"	"FIG00621114"	"PLF_286_00003694"	"PGF_10532194"		253		"Oxidoreductase, short-chain dehydrogenase/reductase family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.996"			"PATRIC.287.6657.NC_009656.CDS.1010363.1011751.rev"	"PATRIC"	"CDS"	1010363	1011751	1389	"-"	"FIG00959323"	"PLF_286_00002853"	"PGF_05382760"		462		"Aminotransferase, class III"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.997"			"PATRIC.287.6657.NC_009656.CDS.1011759.1012583.rev"	"PATRIC"	"CDS"	1011759	1012583	825	"-"	"FIG01357737"	"PLF_286_00001859"	"PGF_00022035"		274		"MoaF protein precursor"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.89"			"PATRIC.287.6657.NC_009656.CDS.101261.101383.rev"	"PATRIC"	"CDS"	101261	101383	123	"-"	"FIG00001358"	"PLF_286_00002532"	"PGF_00424726"		40		"Error-prone, lesion bypass DNA polymerase V (UmuC)"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.998"			"PATRIC.287.6657.NC_009656.CDS.1012848.1012973.rev"	"PATRIC"	"CDS"	1012848	1012973	126	"-"					41		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.999"			"PATRIC.287.6657.NC_009656.CDS.1013042.1013605.fwd"	"PATRIC"	"CDS"	1013042	1013605	564	"+"	"FIG00954190"	"PLF_286_00029909"	"PGF_01018205"		187		"putative fimbrial major protein precursor"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1000"			"PATRIC.287.6657.NC_009656.CDS.1013682.1014377.fwd"	"PATRIC"	"CDS"	1013682	1014377	696	"+"	"FIG00957170"	"PLF_286_00003439"	"PGF_08225224"		231		"probable pili asembly chaperone"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1001"			"PATRIC.287.6657.NC_009656.CDS.1014546.1017200.fwd"	"PATRIC"	"CDS"	1014546	1017200	2655	"+"	"FIG00953237"	"PLF_286_00427759"	"PGF_00028436"		884		"Outer membrane usher protein FIMD"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1002"			"PATRIC.287.6657.NC_009656.CDS.1017197.1017949.fwd"	"PATRIC"	"CDS"	1017197	1017949	753	"+"	"FIG00957966"	"PLF_286_00068838"	"PGF_08225224"		250		"Probable pilin chaperone"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.90"			"PATRIC.287.6657.NC_009656.CDS.101758.102174.rev"	"PATRIC"	"CDS"	101758	102174	417	"-"		"PLF_286_00014924"	"PGF_06003326"		138		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1003"			"PATRIC.287.6657.NC_009656.CDS.1018039.1021068.fwd"	"PATRIC"	"CDS"	1018039	1021068	3030	"+"	"FIG01304224"	"PLF_286_00002565"	"PGF_03105012"		1009		"Large exoproteins involved in heme utilization or adhesion"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1004"			"PATRIC.287.6657.NC_009656.CDS.1021177.1022316.fwd"	"PATRIC"	"CDS"	1021177	1022316	1140	"+"	"FIG00953429"	"PLF_286_00004529"	"PGF_00404236"		379		"probable fimbrial protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.91"			"PATRIC.287.6657.NC_009656.CDS.102193.103887.rev"	"PATRIC"	"CDS"	102193	103887	1695	"-"	"FIG00002773"	"PLF_286_00005465"	"PGF_05493974"		564		"Mercuric ion reductase (EC 1.16.1.1)"	"GO:0016152|mercury (II) reductase activity"
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1005"			"PATRIC.287.6657.NC_009656.CDS.1022835.1024034.rev"	"PATRIC"	"CDS"	1022835	1024034	1200	"-"	"FIG01069690"	"PLF_286_00365949"	"PGF_00045490"		399		"Two-component system response regulator protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1006"			"PATRIC.287.6657.NC_009656.CDS.1024534.1025178.fwd"	"PATRIC"	"CDS"	1024534	1025178	645	"+"	"FIG00955538"	"PLF_286_00004335"	"PGF_09666309"		214		"Two-component transcriptional response regulator, LuxR family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1007"			"PATRIC.287.6657.NC_009656.CDS.1025198.1025887.rev"	"PATRIC"	"CDS"	1025198	1025887	690	"-"	"FIG00955416"	"PLF_286_00003477"	"PGF_00043949"		229		"Putative short-chain dehydrogenase"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1008"			"PATRIC.287.6657.NC_009656.CDS.1025985.1028963.rev"	"PATRIC"	"CDS"	1025985	1028963	2979	"-"	"FIG00956882"	"PLF_286_00211564"	"PGF_10503453"		992		"Polyketide synthase modules and related proteins"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1009"			"PATRIC.287.6657.NC_009656.CDS.1029174.1029380.rev"	"PATRIC"	"CDS"	1029174	1029380	207	"-"	"FIG00954638"	"PLF_286_00156474"	"PGF_06335969"		68		"Transcriptional regulator, Xre family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1010"			"PATRIC.287.6657.NC_009656.CDS.1029377.1029751.rev"	"PATRIC"	"CDS"	1029377	1029751	375	"-"	"FIG00954820"	"PLF_286_00004371"	"PGF_08225224"		124		"hypothetical protein"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1011"			"PATRIC.287.6657.NC_009656.CDS.1029925.1030593.rev"	"PATRIC"	"CDS"	1029925	1030593	669	"-"	"FIG00003845"	"PLF_286_00003822"	"PGF_00058095"		222		"Transcriptional regulator"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1012"			"PATRIC.287.6657.NC_009656.CDS.1030822.1032309.fwd"	"PATRIC"	"CDS"	1030822	1032309	1488	"+"	"FIG00134532"	"PLF_286_00002720"	"PGF_00033029"		495		"Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)"	"GO:0008957|phenylacetaldehyde dehydrogenase activity"
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1013"			"PATRIC.287.6657.NC_009656.CDS.1032500.1033993.fwd"	"PATRIC"	"CDS"	1032500	1033993	1494	"+"	"FIG00959007"	"PLF_286_00002722"	"PGF_00778630"		497		"Uncharacterized amino acid permease, GabP family"	
"Pseudomonas aeruginosa PA7"	"287.6657"	"NC_009656"	"fig|287.6657.peg.1014"			"PATRIC.287.6657.NC_009656.CDS.1033968.1034543.fwd"	"PATRIC"	"CDS"	1033968	1034543	576	"+"	"FIG00954771"	"PLF_286_00003930"	"PGF_00374706"		191		"hypothetical protein"	
