Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.968"			"PATRIC.287.6655.NC_002516.CDS.1000013.1001917.fwd"	"PATRIC"	"CDS"	1000013	1001917	1905	"+"	"FIG00000843"	"PLF_286_00000179"	"PGF_04734234"		634		"Kup system potassium uptake protein"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.91"			"PATRIC.287.6655.NC_002516.CDS.100124.101158.fwd"	"PATRIC"	"CDS"	100124	101158	1035	"+"	"FIG00003132"	"PLF_286_00002645"	"PGF_04998625"		344		"T6SS component TssA (ImpA)"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.969"			"PATRIC.287.6655.NC_002516.CDS.1001972.1002520.rev"	"PATRIC"	"CDS"	1001972	1002520	549	"-"	"FIG01221566"	"PLF_286_00002099"	"PGF_06457203"		182		"Cytochrome b561"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.970"			"PATRIC.287.6655.NC_002516.CDS.1002681.1003964.rev"	"PATRIC"	"CDS"	1002681	1003964	1284	"-"	"FIG01316643"	"PLF_286_00060957"	"PGF_00037526"		427		"Alanylphosphatidylglycerol hydrolase, periplasmic"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.971"			"PATRIC.287.6655.NC_002516.CDS.1003966.1006611.rev"	"PATRIC"	"CDS"	1003966	1006611	2646	"-"	"FIG01288841"	"PLF_286_00047118"	"PGF_05946698"		881		"Alanylphosphatidylglycerol synthase (EC 2.3.2.11)"	"GO:0047637|alanylphosphatidylglycerol synthase activity"
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.972"			"PATRIC.287.6655.NC_002516.CDS.1006860.1007219.fwd"	"PATRIC"	"CDS"	1006860	1007219	360	"+"	"FIG00954892"	"PLF_286_00004131"	"PGF_00192198"		119		"hypothetical protein"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.973"			"PATRIC.287.6655.NC_002516.CDS.1007234.1007548.rev"	"PATRIC"	"CDS"	1007234	1007548	315	"-"	"FIG00967569"	"PLF_286_00003487"	"PGF_00060031"		104		"Transcriptional regulator"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.974"			"PATRIC.287.6655.NC_002516.CDS.1007950.1008999.fwd"	"PATRIC"	"CDS"	1007950	1008999	1050	"+"	"FIG00023943"	"PLF_286_00005797"	"PGF_03787622"		349		"DNA polymerase IV (EC 2.7.7.7)"	"GO:0003887|DNA-directed DNA polymerase activity"
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.975"			"PATRIC.287.6655.NC_002516.CDS.1009006.1010934.rev"	"PATRIC"	"CDS"	1009006	1010934	1929	"-"	"FIG00782078"	"PLF_286_00003811"	"PGF_00124680"		642		"Predicted hydrolase of alkaline phosphatase superfamily"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.976"			"PATRIC.287.6655.NC_002516.CDS.1011047.1011454.rev"	"PATRIC"	"CDS"	1011047	1011454	408	"-"	"FIG01318808"	"PLF_286_00003702"	"PGF_00010957"		135		"Heat shock protein"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.977"			"PATRIC.287.6655.NC_002516.CDS.1011522.1011947.rev"	"PATRIC"	"CDS"	1011522	1011947	426	"-"	"FIG00953239"	"PLF_286_00002883"	"PGF_00549796"		141		"hypothetical protein"	
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.978"			"PATRIC.287.6655.NC_002516.CDS.1011983.1012972.rev"	"PATRIC"	"CDS"	1011983	1012972	990	"-"	"FIG00000842"	"PLF_286_00006711"	"PGF_06713057"		329		"D-lactate dehydrogenase (EC 1.1.1.28)"	"GO:0008720|D-lactate dehydrogenase activity"
"Pseudomonas aeruginosa PAO1"	"287.6655"	"NC_002516"	"fig|287.6655.peg.92"			"PATRIC.287.6655.NC_002516.CDS.101247.101765.fwd"	"PATRIC"	"CDS"	101247	101765	519	"+"	"FIG00005165"	"PLF_286_00001640"	"PGF_01645412"		172		"T6SS component TssB (ImpB/VipA)"	
