,Product,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6770.peg.1000,Membrane-bound lytic murein transglycosylase B,fig|287.6613.peg.976,fig|287.6611.peg.983,fig|287.6614.peg.1064,fig|287.6616.peg.962,fig|287.6612.peg.1000,fig|287.6618.peg.1008,fig|287.6615.peg.1001,fig|287.6617.peg.1030,fig|287.6621.peg.1073,fig|287.6619.peg.989,fig|287.6622.peg.5057,fig|287.6623.peg.5523,fig|287.6624.peg.1065,fig|287.6625.peg.1064,fig|287.6657.peg.1087,fig|287.6655.peg.4230,fig|287.6631.peg.1042,fig|287.6628.peg.989,fig|287.6632.peg.985,fig|287.6629.peg.1078,fig|287.6635.peg.988,fig|287.6633.peg.1064,fig|287.6634.peg.1066,fig|287.6637.peg.1116,fig|287.6636.peg.982,fig|287.6620.peg.5475,fig|287.6630.peg.1000,fig|287.6639.peg.1067,fig|287.6638.peg.992,fig|287.6627.peg.974
fig|287.6770.peg.1001,Septum-associated rare lipoprotein A,fig|287.6613.peg.977,fig|287.6611.peg.984,fig|287.6614.peg.1065,fig|287.6616.peg.963,fig|287.6612.peg.1001,fig|287.6618.peg.1009,fig|287.6615.peg.1002,,fig|287.6621.peg.1074,fig|287.6619.peg.990,fig|287.6622.peg.5056,fig|287.6623.peg.5522,fig|287.6624.peg.1066,fig|287.6625.peg.1065,fig|287.6657.peg.1088,fig|287.6655.peg.4229,fig|287.6631.peg.1043,fig|287.6628.peg.990,fig|287.6632.peg.986,fig|287.6629.peg.1079,fig|287.6635.peg.989,fig|287.6633.peg.1065,fig|287.6634.peg.1067,fig|287.6637.peg.1117,fig|287.6636.peg.983,fig|287.6620.peg.5474,fig|287.6630.peg.1001,fig|287.6639.peg.1068,fig|287.6638.peg.993,fig|287.6627.peg.975
fig|287.6770.peg.1002,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),fig|287.6613.peg.978,fig|287.6611.peg.985,fig|287.6614.peg.1066,fig|287.6616.peg.964,fig|287.6612.peg.1002,fig|287.6618.peg.1010,fig|287.6615.peg.1003,fig|287.6617.peg.1033,fig|287.6621.peg.1075,fig|287.6619.peg.991,fig|287.6622.peg.5055,fig|287.6623.peg.5521,fig|287.6624.peg.1067,fig|287.6625.peg.1066,fig|287.6657.peg.1089,fig|287.6655.peg.4228,fig|287.6631.peg.1044,fig|287.6628.peg.991,fig|287.6632.peg.987,fig|287.6629.peg.1080,fig|287.6635.peg.990,fig|287.6633.peg.1066,fig|287.6634.peg.1068,fig|287.6637.peg.1118,fig|287.6636.peg.984,fig|287.6620.peg.5473,fig|287.6630.peg.1002,fig|287.6639.peg.1069,fig|287.6638.peg.994,fig|287.6627.peg.976
fig|287.6770.peg.1003,Proposed lipoate regulatory protein YbeD,fig|287.6613.peg.979,fig|287.6611.peg.986,fig|287.6614.peg.1067,fig|287.6616.peg.965,fig|287.6612.peg.1003,fig|287.6618.peg.1011,fig|287.6615.peg.1004,fig|287.6617.peg.1034,fig|287.6621.peg.1076,fig|287.6619.peg.992,fig|287.6622.peg.5054,fig|287.6623.peg.5520,fig|287.6624.peg.1068,fig|287.6625.peg.1067,fig|287.6657.peg.1090,fig|287.6655.peg.4227,fig|287.6631.peg.1045,fig|287.6628.peg.992,fig|287.6632.peg.988,fig|287.6629.peg.1081,fig|287.6635.peg.991,fig|287.6633.peg.1067,fig|287.6634.peg.1069,fig|287.6637.peg.1119,fig|287.6636.peg.985,fig|287.6620.peg.5472,fig|287.6630.peg.1003,fig|287.6639.peg.1070,fig|287.6638.peg.995,fig|287.6627.peg.977
fig|287.6770.peg.1004,Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181),fig|287.6613.peg.980,fig|287.6611.peg.987,fig|287.6614.peg.1068,fig|287.6616.peg.966,fig|287.6612.peg.1004,fig|287.6618.peg.1012,fig|287.6615.peg.1005,fig|287.6617.peg.1035,fig|287.6621.peg.1077,fig|287.6619.peg.993,fig|287.6622.peg.5053,fig|287.6623.peg.5519,fig|287.6624.peg.1069,fig|287.6625.peg.1068,fig|287.6657.peg.1091,fig|287.6655.peg.4226,fig|287.6631.peg.1046,fig|287.6628.peg.993,fig|287.6632.peg.989,fig|287.6629.peg.1082,fig|287.6635.peg.992,fig|287.6633.peg.1068,fig|287.6634.peg.1070,fig|287.6637.peg.1120,fig|287.6636.peg.986,fig|287.6620.peg.5471,fig|287.6630.peg.1004,fig|287.6639.peg.1071,fig|287.6638.peg.996,fig|287.6627.peg.978
fig|287.6770.peg.1005,Lipoyl synthase (EC 2.8.1.8),fig|287.6613.peg.981,fig|287.6611.peg.988,fig|287.6614.peg.1069,fig|287.6616.peg.967,fig|287.6612.peg.1005,fig|287.6618.peg.1013,fig|287.6615.peg.1006,fig|287.6617.peg.1036,fig|287.6621.peg.1078,fig|287.6619.peg.994,fig|287.6622.peg.5052,fig|287.6623.peg.5518,fig|287.6624.peg.1070,fig|287.6625.peg.1069,fig|287.6657.peg.1092,fig|287.6655.peg.4225,fig|287.6631.peg.1047,fig|287.6628.peg.994,fig|287.6632.peg.990,fig|287.6629.peg.1083,fig|287.6635.peg.993,fig|287.6633.peg.1069,fig|287.6634.peg.1071,fig|287.6637.peg.1121,fig|287.6636.peg.987,fig|287.6620.peg.5470,fig|287.6630.peg.1005,fig|287.6639.peg.1072,fig|287.6638.peg.997,fig|287.6627.peg.979
fig|287.6770.peg.1006,"Transcriptional regulator, LysR family",fig|287.6613.peg.982,fig|287.6611.peg.989,fig|287.6614.peg.1070,fig|287.6616.peg.968,fig|287.6612.peg.1006,fig|287.6618.peg.1014,fig|287.6615.peg.1007,fig|287.6617.peg.1037,fig|287.6621.peg.1079,fig|287.6619.peg.995,fig|287.6622.peg.5051,fig|287.6623.peg.5517,fig|287.6624.peg.1071,fig|287.6625.peg.1070,fig|287.6657.peg.1093,fig|287.6655.peg.4224,fig|287.6631.peg.1048,fig|287.6628.peg.995,fig|287.6632.peg.991,fig|287.6629.peg.1084,fig|287.6635.peg.994,fig|287.6633.peg.1070,fig|287.6634.peg.1072,fig|287.6637.peg.1122,fig|287.6636.peg.988,fig|287.6620.peg.5469,fig|287.6630.peg.1006,fig|287.6639.peg.1073,fig|287.6638.peg.998,fig|287.6627.peg.980
fig|287.6770.peg.1007,probable epoxide hydrolase,fig|287.6613.peg.983,fig|287.6611.peg.990,fig|287.6614.peg.1071,fig|287.6616.peg.969,fig|287.6612.peg.1007,fig|287.6618.peg.1015,fig|287.6615.peg.1008,fig|287.6617.peg.1038,fig|287.6621.peg.1080,fig|287.6619.peg.996,fig|287.6622.peg.5050,fig|287.6623.peg.5516,fig|287.6624.peg.1072,fig|287.6625.peg.1071,,fig|287.6655.peg.4223,fig|287.6631.peg.1049,fig|287.6628.peg.996,fig|287.6632.peg.992,fig|287.6629.peg.1085,fig|287.6635.peg.995,,fig|287.6634.peg.1073,fig|287.6637.peg.1123,fig|287.6636.peg.989,fig|287.6620.peg.5468,fig|287.6630.peg.1007,fig|287.6639.peg.1074,fig|287.6638.peg.999,fig|287.6627.peg.981
fig|287.6770.peg.1008,Membrane-bound lytic murein transglycosylase B,fig|287.6613.peg.984,fig|287.6611.peg.991,fig|287.6614.peg.1072,fig|287.6616.peg.970,fig|287.6612.peg.1008,fig|287.6618.peg.1016,fig|287.6615.peg.1009,fig|287.6617.peg.1039,fig|287.6621.peg.1081,fig|287.6619.peg.997,fig|287.6622.peg.5049,fig|287.6623.peg.5515,fig|287.6624.peg.1073,fig|287.6625.peg.1072,fig|287.6657.peg.1095,fig|287.6655.peg.4221,fig|287.6631.peg.1050,fig|287.6628.peg.997,fig|287.6632.peg.993,fig|287.6629.peg.1086,fig|287.6635.peg.996,fig|287.6633.peg.1073,fig|287.6634.peg.1074,fig|287.6637.peg.1124,fig|287.6636.peg.990,fig|287.6620.peg.5467,fig|287.6630.peg.1008,fig|287.6639.peg.1075,fig|287.6638.peg.1000,fig|287.6627.peg.982
fig|287.6770.peg.1009,hypothetical protein,,,,,,fig|287.6618.peg.1017,fig|287.6615.peg.1010,fig|287.6617.peg.1040,,,fig|287.6622.peg.5048,fig|287.6623.peg.5514,,,,fig|287.6655.peg.4220,fig|287.6631.peg.1051,fig|287.6628.peg.998,,,fig|287.6635.peg.997,,,fig|287.6637.peg.1125,fig|287.6636.peg.991,fig|287.6620.peg.5466,,,fig|287.6638.peg.1001,
fig|287.6770.peg.100,FIG00965783: hypothetical protein,,,,fig|287.6616.peg.99,,,,,,fig|287.6619.peg.101,fig|287.6622.peg.153,fig|287.6623.peg.153,,,,,,,,,,,,,,,,,,
