Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.952"			"PATRIC.287.6617.287.6617.con.0001.CDS.1000687.1001565.fwd"	"PATRIC"	"CDS"	1000687	1001565	879	"+"		"PLF_286_00359696"	"PGF_08225224"		292		"Uricase (urate oxidase) (EC 1.7.3.3)"	"GO:0004846|urate oxidase activity"
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.953"			"PATRIC.287.6617.287.6617.con.0001.CDS.1001587.1002624.fwd"	"PATRIC"	"CDS"	1001587	1002624	1038	"+"	"FIG01955906"	"PLF_286_00031959"	"PGF_00066486"		345		"Vanillate O-demethylase oxygenase subunit (EC 1.14.13.82)"	"GO:0018489|vanillate monooxygenase activity"
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.954"			"PATRIC.287.6617.287.6617.con.0001.CDS.1002625.1003578.fwd"	"PATRIC"	"CDS"	1002625	1003578	954	"+"	"FIG00001276"	"PLF_286_00150549"	"PGF_03974622"		317		"Flavodoxin reductases (ferredoxin-NADPH reductases) family 1; Vanillate O-demethylase oxidoreductase (EC 1.14.13.-)"	"GO:0008688|3-(3-hydroxyphenyl)propionate hydroxylase activity;GO:0008688|4-chlorobenzaldehyde oxidase activity;GO:0008688|3,5-xylenol methylhydroxylase activity;GO:0008688|phenylacetate hydroxylase activity;GO:0008688|4-nitrophenol 4-monooxygenase activity;GO:0008688|dimethyl sulfide monooxygenase activity;GO:0008688|alpha-pinene monooxygenase [NADH] activity;GO:0008688|phenanthrene 9,10-monooxygenase activity;GO:0008688|1-hydroxy-2-naphthoate hydroxylase activity;GO:0008688|toluene 4-monooxygenase activity;GO:0008688|xylene monooxygenase activity;GO:0008688|dibenzothiophene monooxygenase activity;GO:0008688|6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity;GO:0008688|chlorophenol 4-monooxygenase activity;GO:0008688|carbon disulfide oxygenase activity;GO:0008688|toluene 2-monooxygenase activity;GO:0008688|1-hydroxy-2-oxolimonene 1,2-monooxygenase activity;GO:0008688|phenanthrene 1,2-monooxygenase activity;GO:0008688|tetrahydrofuran hydroxylase activity;GO:0008688|styrene monooxygenase activity;GO:0008688|toluene-4-sulfonate monooxygenase activity;GO:0008688|toluene-sulfonate methyl-monooxygenase activity;GO:0008688|3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity;GO:0008688|2-hydroxy-phenylacetate hydroxylase activity;GO:0008688|2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity;GO:0008688|phenanthrene 3,4-monooxygenase activity;GO:0008688|toluene 3-monooxygenase activity;GO:0008688|4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity;GO:0008688|limonene monooxygenase activity;GO:0008688|2-methylnaphthalene hydroxylase activity;GO:0008688|1-methylnaphthalene hydroxylase activity;GO:0008688|bisphenol A hydroxylase A activity;GO:0008688|salicylate 5-hydroxylase activity;GO:0008688|isobutylamine N-hydroxylase activity;GO:0008688|branched-chain dodecylbenzene sulfonate monooxygenase activity;GO:0008688|3-HSA hydroxylase activity;GO:0008688|4-hydroxypyridine-3-hydroxylase activity;GO:0008688|2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase activity;GO:0008688|6-hydroxynicotinate 3-monooxygenase activity;GO:0008688|tocotrienol omega-hydroxylase activity;GO:0008688|thalianol hydroxylase activity"
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.955"			"PATRIC.287.6617.287.6617.con.0001.CDS.1003610.1004221.fwd"	"PATRIC"	"CDS"	1003610	1004221	612	"+"		"PLF_286_00102929"	"PGF_08225224"		203		"Aminomethyltransferase"	
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.956"			"PATRIC.287.6617.287.6617.con.0001.CDS.1004232.1005485.fwd"	"PATRIC"	"CDS"	1004232	1005485	1254	"+"	"FIG00019497"	"PLF_286_00017606"	"PGF_03226829"		417		"Beta-ureidopropionase (EC 3.5.1.6)"	"GO:0003837|beta-ureidopropionase activity"
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.957"			"PATRIC.287.6617.287.6617.con.0001.CDS.1005482.1006492.rev"	"PATRIC"	"CDS"	1005482	1006492	1011	"-"	"FIG00638284"	"PLF_286_00359519"	"PGF_09774558"		336		"Transcriptional regulator, LacI family"	
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.958"			"PATRIC.287.6617.287.6617.con.0001.CDS.1006707.1007921.fwd"	"PATRIC"	"CDS"	1006707	1007921	1215	"+"	"FIG00638284"	"PLF_286_00307728"	"PGF_10521113"		404		"hypothetical protein"	
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.85"			"PATRIC.287.6617.287.6617.con.0001.CDS.100789.102123.rev"	"PATRIC"	"CDS"	100789	102123	1335	"-"	"FIG00008560"	"PLF_286_00001645"	"PGF_04819167"		444		"T6SS component TssK (ImpJ/VasE)"	
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.959"			"PATRIC.287.6617.287.6617.con.0001.CDS.1007976.1008707.fwd"	"PATRIC"	"CDS"	1007976	1008707	732	"+"	"FIG00020185"	"PLF_286_00031969"	"PGF_02987680"		243		"Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)"	
"Pseudomonas aeruginosa H27930"	"287.6617"	"287.6617.con.0001"	"fig|287.6617.peg.960"			"PATRIC.287.6617.287.6617.con.0001.CDS.1008694.1009389.fwd"	"PATRIC"	"CDS"	1008694	1009389	696	"+"	"FIG00006551"	"PLF_286_00369004"	"PGF_00700305"		231		"Branched-chain amino acid ABC transporter, ATP-binding protein LivF (TC 3.A.1.4.1)"	
