"","ID","locus","Gene"
"1","PGD1650836","PA14_00010","dnaA"
"2","PGD1650838","PA14_00020","dnaN"
"3","PGD1650840","PA14_00030","recF_1"
"4","PGD1650842","PA14_00050","gyrB"
"5","PGD1650844","PA14_00060","group_10488"
"6","PGD1650846","PA14_00070","gmhB"
"7","PGD1650848","PA14_00080","group_11268"
"8","PGD1650850","PA14_00090","glyS"
"9","PGD1650852","PA14_00100","glyQ"
"10","PGD1650854","PA14_00110","tag"
"11","PGD1650856","PA14_00120","lpxL_1"
"12","PGD1650858","PA14_00130","group_12398"
"13","PGD1650860","PA14_00140","yhhQ"
"14","PGD1650862","PA14_00150","group_402"
"15","PGD1650864","PA14_00160","group_1977"
"16","PGD1650866","PA14_00170","trkA"
"17","PGD1650868","PA14_00180","rsmB"
"18","PGD1650870","PA14_00190","fmt"
"19","PGD1650872","PA14_00200","def_1"
"20","PGD1650874","PA14_00210","group_10595"
"21","PGD1650876","PA14_00230","group_10284"
"22","PGD1650878","PA14_00240","tsaC"
"23","PGD1650880","PA14_00250","qorA_1"
"24","PGD1650882","PA14_00280","hemF"
"25","PGD1650884","PA14_00290","aroE_1"
"26","PGD1650886","PA14_00300","group_10416"
"27","PGD1650888","PA14_00310","prsA"
"28","PGD1650890","PA14_00320","group_980"
"29","PGD1650892","PA14_00340","dauA_1"
"30","PGD1650894","PA14_00360","group_12488"
"31","PGD1650896","PA14_00380","betC"
"32","PGD1650898","PA14_00400","gcvA_1"
"33","PGD1650900","PA14_00410","group_981"
"34","PGD1650902","PA14_00420","group_10520"
"35","PGD1650904","PA14_00430","group_9806"
"36","PGD1650906","PA14_00440","trpA"
"37","PGD1650908","PA14_00450","trpB"
"38","PGD1650910","PA14_00460","trpI_1"
"39","PGD1650912","PA14_00470","group_9280"
"40","PGD1650914","PA14_00480","group_1979"
"41","PGD1650916","PA14_00490","shlB"
"42","PGD1650918","PA14_00510","cdiA"
"43","PGD1650920","PA14_00520","group_7948"
"44","PGD1650922","PA14_00530","group_11146"
"45","PGD1650924","PA14_00550","group_591"
"46","PGD1650926","PA14_00560","group_1980"
"47","PGD1650928","PA14_00570","group_12003"
"48","PGD1650930","PA14_00580","group_9450"
"49","PGD1650932","PA14_00590","group_1981"
"50","PGD1650934","PA14_00600","group_12579"
"51","PGD1650936","PA14_00620","group_9723"
"52","PGD1650938","PA14_00630","group_9459"
"53","PGD1650940","PA14_00640","asnO_1"
"54","PGD1650942","PA14_00650","group_11544"
"55","PGD1650944","PA14_00660","kptA"
"56","PGD1650946","PA14_00670","group_983"
