locus,Gene
PA14_00010,dnaA
PA14_00020,dnaN
PA14_00030,recF_1
PA14_00050,gyrB
PA14_00060,group_10488
PA14_00070,gmhB
PA14_00080,group_11268
PA14_00090,glyS
PA14_00100,glyQ
PA14_00110,tag
PA14_00120,lpxL_1
PA14_00130,group_12398
PA14_00140,yhhQ
PA14_00150,group_402
PA14_00160,group_1977
PA14_00170,trkA
PA14_00180,rsmB
PA14_00190,fmt
PA14_00200,def_1
PA14_00210,group_10595
PA14_00230,group_10284
PA14_00240,tsaC
PA14_00250,qorA_1
PA14_00280,hemF
PA14_00290,aroE_1
PA14_00300,group_10416
PA14_00310,prsA
PA14_00320,group_980
PA14_00340,dauA_1
PA14_00360,group_12488
PA14_00380,betC
PA14_00400,gcvA_1
PA14_00410,group_981
PA14_00420,group_10520
PA14_00430,group_9806
PA14_00440,trpA
PA14_00450,trpB
PA14_00460,trpI_1
PA14_00470,group_9280
PA14_00480,group_1979
PA14_00490,shlB
PA14_00510,cdiA
PA14_00520,group_7948
PA14_00530,group_11146
PA14_00550,group_591
PA14_00560,group_1980
PA14_00570,group_12003
PA14_00580,group_9450
PA14_00590,group_1981
PA14_00600,group_12579
PA14_00620,group_9723
PA14_00630,group_9459
PA14_00640,asnO_1
PA14_00650,group_11544
PA14_00660,kptA
PA14_00670,group_983
PA14_00680,dmlR_1
PA14_00690,group_9481
PA14_00700,group_1983
PA14_00710,osmC
PA14_00720,group_984
PA14_00730,group_10147
PA14_00740,group_9780
PA14_00750,group_10688
PA14_00760,group_9906
PA14_00770,group_11252
PA14_00780,yrdA_1
PA14_00790,prlC
PA14_00800,group_12438
PA14_00810,group_985
PA14_00820,group_12745
PA14_00830,group_11091
PA14_00850,group_11456
PA14_00860,macB_1
PA14_00875,pknD_1
PA14_00890,prpC_1
PA14_00900,group_10072
PA14_00910,group_2953
PA14_00925,group_11795
PA14_00940,group_10105
PA14_00960,group_12217
PA14_00970,group_220
PA14_00980,group_221
PA14_00990,group_12700
PA14_01010,group_9456
PA14_01020,group_9707
PA14_01030,hcp1_1
PA14_01040,group_1985
PA14_01060,group_11970
PA14_01070,group_10049
PA14_01080,group_12264
PA14_01100,clpV1_1
PA14_01110,vgrG1_1
PA14_01120,group_5315
PA14_01130,group_5316
PA14_01140,group_593
PA14_01150,group_11345
PA14_01160,group_11876
PA14_01170,group_1986
PA14_01180,group_1987
PA14_01190,group_3589
PA14_01200,group_7016
PA14_01220,group_7017
PA14_01230,group_987
PA14_01240,cynT_1
PA14_01250,group_10478
PA14_01270,group_7949
PA14_01290,group_1989
PA14_01300,ctaD
PA14_01310,ctaG
PA14_01320,ctaE
PA14_01330,group_11894
PA14_01340,group_12671
PA14_01350,group_989
PA14_01360,ctaA
PA14_01380,ctaB
PA14_01390,group_9351
PA14_01400,elaA
PA14_01410,group_10370
PA14_01430,group_9487
PA14_01440,nsaD
PA14_01460,dctA
PA14_01470,lldR_1
PA14_01480,group_1991
PA14_01490,group_11517
PA14_01500,dmlR_2
PA14_01510,group_1992
PA14_01520,group_12400
PA14_01540,group_11602
PA14_01550,group_12607
PA14_01560,group_11277
PA14_01580,bauD
PA14_01600,bauC
PA14_01610,bauB
PA14_01620,bauA_1
PA14_01640,group_11281
PA14_01660,guaD_1
PA14_01670,mglA
PA14_01680,group_11763
PA14_01690,group_1994
PA14_01710,ahpC_1
PA14_01720,ahpF
PA14_01730,ppk2
PA14_01750,group_11508
PA14_01760,rihB
PA14_01770,tsx
PA14_01780,group_1995
PA14_01790,group_1996
PA14_01800,group_10895
PA14_01810,vldW_1
PA14_01830,group_11437
PA14_01840,group_1997
PA14_01860,group_12667
PA14_01870,cntO_1
PA14_01890,gbpR_1
PA14_01900,pcaH
PA14_01910,pcaG
PA14_01930,pcaR
PA14_01940,mdtA_1
PA14_01960,mdtE
PA14_01970,czcA_1
PA14_01980,dmlR_3
PA14_01990,group_12701
PA14_02010,group_7950
PA14_02020,oprD_1
PA14_02030,nimR_1
PA14_02050,ywrD
PA14_02060,group_2001
PA14_02070,xanP_1
PA14_02090,rutR_1
PA14_02100,yigZ
PA14_02110,group_2002
PA14_02130,group_11194
PA14_02140,group_9222
PA14_02150,group_993
PA14_02180,cheB2
PA14_02190,cheD
PA14_02200,cheR
PA14_02220,group_9802
PA14_02230,cheW_1
PA14_02250,group_12345
PA14_02260,cheY_1
PA14_02270,group_12160
PA14_02290,dmlR_4
PA14_02300,bdcA
PA14_02310,atsA
PA14_02330,ssuB_1
PA14_02340,group_10237
PA14_02360,group_10264
PA14_02370,oprD_2
PA14_02380,group_11115
PA14_02390,group_10920
PA14_02410,fyuA
PA14_02420,atsK
PA14_02435,tfdA
PA14_02450,pntAA
PA14_02460,pntA
PA14_02470,pntB
PA14_02490,group_12099
PA14_02500,tolQ_1
PA14_02510,exbD_1
PA14_02520,group_12431
PA14_02530,group_10100
PA14_02550,madA
PA14_02560,citG
PA14_02570,mdcC
PA14_02580,madC
PA14_02590,group_12046
PA14_02610,mdcG
PA14_02620,fabD_1
PA14_02630,group_12458
PA14_02640,group_594
PA14_02650,gltC_1
PA14_02660,gltC_2
PA14_02680,puuC_1
PA14_02690,yhdG_1
PA14_02700,spuC_1
PA14_02720,group_9818
PA14_02730,dapA_1
PA14_02740,fucA_1
PA14_02750,sutR_1
PA14_02760,catI
PA14_02770,catJ
PA14_02790,pcaF_1
PA14_02810,kgtP_1
PA14_02830,pcaB_1
PA14_02840,catD_1
PA14_02850,group_12676
PA14_02870,group_10025
PA14_02890,group_10424
PA14_02900,pcaK_1
PA14_02910,iclR
PA14_02930,iolG
PA14_02960,group_12067
PA14_02970,group_10690
PA14_02980,nicP_1
PA14_02990,exuT_1
PA14_03000,group_12056
PA14_03010,nicS
PA14_03020,aroE_2
PA14_03030,aroQ1_1
PA14_03040,mdtD
PA14_03050,pobA
PA14_03070,group_12373
PA14_03080,yjaB_1
PA14_03090,IMPDH
PA14_03100,group_3603
PA14_03110,group_504
PA14_03120,marR_1
PA14_03130,hudA
PA14_03150,group_2007
