Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.955"			"PATRIC.287.6656.NC_008463.CDS.1000695.1000937.rev"	"PATRIC"	"CDS"	1000695	1000937	243	"-"	"FIG00000435"	"PLF_286_00005882"	"PGF_05076104"		80		"Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)"	"GO:0008855|exodeoxyribonuclease VII activity"
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.956"			"PATRIC.287.6656.NC_008463.CDS.1001095.1002264.fwd"	"PATRIC"	"CDS"	1001095	1002264	1170	"+"	"FIG01382484"	"PLF_286_00003462"	"PGF_00016008"		389		"L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.957"			"PATRIC.287.6656.NC_008463.CDS.1002496.1003503.rev"	"PATRIC"	"CDS"	1002496	1003503	1008	"-"	"FIG00961805"	"PLF_286_00003666"	"PGF_08225224"		335		"hypothetical protein"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.958"			"PATRIC.287.6656.NC_008463.CDS.1003505.1005307.rev"	"PATRIC"	"CDS"	1003505	1005307	1803	"-"	"FIG00007843"	"PLF_286_00002908"	"PGF_08107843"		600		"Gliding motility-associated ABC transporter substrate-binding protein GldG"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.959"			"PATRIC.287.6656.NC_008463.CDS.1005317.1006051.rev"	"PATRIC"	"CDS"	1005317	1006051	735	"-"	"FIG00004542"	"PLF_286_00004591"	"PGF_06759389"		244		"Gliding motility-associated ABC transporter permease protein GldF"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.960"			"PATRIC.287.6656.NC_008463.CDS.1006048.1006974.rev"	"PATRIC"	"CDS"	1006048	1006974	927	"-"	"FIG00001005"	"PLF_286_00004416"	"PGF_02759160"		308		"Gliding motility-associated ABC transporter ATP-binding protein GldA"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.961"			"PATRIC.287.6656.NC_008463.CDS.1007137.1007340.rev"	"PATRIC"	"CDS"	1007137	1007340	204	"-"		"PLF_286_00013371"	"PGF_00329388"		67		"hypothetical protein"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.962"			"PATRIC.287.6656.NC_008463.CDS.1007379.1009679.rev"	"PATRIC"	"CDS"	1007379	1009679	2301	"-"	"FIG01225284"	"PLF_286_00002118"	"PGF_10504551"		766		"Two-component system sensor histidine kinase"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.963"			"PATRIC.287.6656.NC_008463.CDS.1009698.1010699.rev"	"PATRIC"	"CDS"	1009698	1010699	1002	"-"	"FIG01314307"	"PLF_286_00003171"	"PGF_00017755"		333		"LysM domain protein"	
"Pseudomonas aeruginosa UCBPP-PA14"	"287.6656"	"NC_008463"	"fig|287.6656.peg.92"			"PATRIC.287.6656.NC_008463.CDS.101003.101491.fwd"	"PATRIC"	"CDS"	101003	101491	489	"+"	"FIG00005398"	"PLF_286_00001623"	"PGF_01920524"		162		"T6SS component Hcp"	
