Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.975"			"PATRIC.287.6615.287.6615.con.0001.CDS.1000343.1001236.rev"	"PATRIC"	"CDS"	1000343	1001236	894	"-"	"FIG00953094"	"PLF_286_00005492"	"PGF_08964051"		297		"ABC-type amino acid transport/signal transduction system, periplasmic component/domain"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.976"			"PATRIC.287.6615.287.6615.con.0001.CDS.1001286.1001747.rev"	"PATRIC"	"CDS"	1001286	1001747	462	"-"	"FIG00001650"	"PLF_286_00003720"	"PGF_00039861"		153		"Acetyltransferase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.977"			"PATRIC.287.6615.287.6615.con.0001.CDS.1001910.1002731.rev"	"PATRIC"	"CDS"	1001910	1002731	822	"-"	"FIG00015941"	"PLF_286_00000349"	"PGF_00424869"		273		"Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)"	"GO:0008851|ethanolamine ammonia-lyase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.978"			"PATRIC.287.6615.287.6615.con.0001.CDS.1002742.1004136.rev"	"PATRIC"	"CDS"	1002742	1004136	1395	"-"	"FIG00003375"	"PLF_286_00000186"	"PGF_00424868"		464		"Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)"	"GO:0008851|ethanolamine ammonia-lyase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.979"			"PATRIC.287.6615.287.6615.con.0001.CDS.1004194.1005642.rev"	"PATRIC"	"CDS"	1004194	1005642	1449	"-"	"FIG00003466"	"PLF_286_00001542"	"PGF_04116999"		482		"Ethanolamine permease"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.980"			"PATRIC.287.6615.287.6615.con.0001.CDS.1005852.1007372.rev"	"PATRIC"	"CDS"	1005852	1007372	1521	"-"	"FIG01292786"	"PLF_286_00000022"	"PGF_07597988"		506		"Aldehyde dehydrogenase (EC 1.2.1.3)"	"GO:0004029|aldehyde dehydrogenase (NAD) activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.981"			"PATRIC.287.6615.287.6615.con.0001.CDS.1007711.1009642.fwd"	"PATRIC"	"CDS"	1007711	1009642	1932	"+"	"FIG01304230"	"PLF_286_00033207"	"PGF_06587458"		643		"sigma-54-dependent transcriptional regulator"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.982"			"PATRIC.287.6615.287.6615.con.0001.CDS.1009800.1011155.fwd"	"PATRIC"	"CDS"	1009800	1011155	1356	"+"	"FIG00002492"	"PLF_286_00000199"	"PGF_00064004"		451		"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)"	"GO:0008766|UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity;GO:0008766|ribosomal S6-glutamic acid ligase activity;GO:0008766|coenzyme F420-0 gamma-glutamyl ligase activity;GO:0008766|coenzyme F420-2 alpha-glutamyl ligase activity;GO:0008766|protein-glycine ligase activity;GO:0008766|protein-glycine ligase activity, initiating;GO:0008766|protein-glycine ligase activity, elongating;GO:0008766|tubulin-glycine ligase activity;GO:0008766|protein-glutamic acid ligase activity;GO:0008766|tubulin-glutamic acid ligase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.983"			"PATRIC.287.6615.287.6615.con.0001.CDS.1011164.1011793.fwd"	"PATRIC"	"CDS"	1011164	1011793	630	"+"	"FIG00000573"	"PLF_286_00001079"	"PGF_08473931"		209		"Flavin prenyltransferase UbiX"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.984"			"PATRIC.287.6615.287.6615.con.0001.CDS.1011795.1012070.fwd"	"PATRIC"	"CDS"	1011795	1012070	276	"+"	"FIG00947911"	"PLF_286_00002478"	"PGF_06919539"		91		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.985"			"PATRIC.287.6615.287.6615.con.0001.CDS.1012090.1012731.rev"	"PATRIC"	"CDS"	1012090	1012731	642	"-"	"FIG00905558"	"PLF_286_00005143"	"PGF_03331199"		213		"Uncharacterized protein YraR"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.986"			"PATRIC.287.6615.287.6615.con.0001.CDS.1012778.1014517.rev"	"PATRIC"	"CDS"	1012778	1014517	1740	"-"	"FIG00954052"	"PLF_286_00056631"	"PGF_00410111"		579		"putative phosphatidylinositol-4-phosphate 5-kinase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.987"			"PATRIC.287.6615.287.6615.con.0001.CDS.1014708.1015163.rev"	"PATRIC"	"CDS"	1014708	1015163	456	"-"	"FIG01303815"	"PLF_286_00002392"	"PGF_01389504"		151		"Acyl dehydratase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.988"			"PATRIC.287.6615.287.6615.con.0001.CDS.1015309.1015719.fwd"	"PATRIC"	"CDS"	1015309	1015719	411	"+"	"FIG00000832"	"PLF_286_00000968"	"PGF_00059509"		136		"Antiholin-like protein LrgA"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.989"			"PATRIC.287.6615.287.6615.con.0001.CDS.1015719.1016429.fwd"	"PATRIC"	"CDS"	1015719	1016429	711	"+"	"FIG00000822"	"PLF_286_00000099"	"PGF_00017655"		236		"LrgA-associated membrane protein LrgB"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.990"			"PATRIC.287.6615.287.6615.con.0001.CDS.1016449.1017042.fwd"	"PATRIC"	"CDS"	1016449	1017042	594	"+"	"FIG00138231"	"PLF_286_00436660"	"PGF_02866109"		197		"Uncharacterized protein, similar to the N-terminal domain of Lon protease"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.991"			"PATRIC.287.6615.287.6615.con.0001.CDS.1017053.1018366.rev"	"PATRIC"	"CDS"	1017053	1018366	1314	"-"	"FIG00638284"	"PLF_286_00003106"	"PGF_06833838"		437		"putative membrane-associated phospholipid phosphatase, PAP2 superfamily"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.992"			"PATRIC.287.6615.287.6615.con.0001.CDS.1018363.1019082.rev"	"PATRIC"	"CDS"	1018363	1019082	720	"-"	"FIG00001134"	"PLF_286_00002847"	"PGF_00419930"		239		"3-methyladenine DNA glycosylase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.993"			"PATRIC.287.6615.287.6615.con.0001.CDS.1019146.1020003.fwd"	"PATRIC"	"CDS"	1019146	1020003	858	"+"	"FIG01313020"	"PLF_286_00002817"	"PGF_00026617"		285		"O-Methyltransferase involved in polyketide biosynthesis"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.994"			"PATRIC.287.6615.287.6615.con.0001.CDS.1020011.1021234.rev"	"PATRIC"	"CDS"	1020011	1021234	1224	"-"	"FIG00638284"	"PLF_286_00002871"	"PGF_12895065"		407		"Putative hydrolase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.8"			"PATRIC.287.6615.287.6615.con.0001.CDS.10202.11029.rev"	"PATRIC"	"CDS"	10202	11029	828	"-"	"FIG01306568"	"PLF_286_00000009"	"PGF_00839140"		275		"Transposase InsO for insertion sequence element IS911"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.995"			"PATRIC.287.6615.287.6615.con.0001.CDS.1021532.1022797.fwd"	"PATRIC"	"CDS"	1021532	1022797	1266	"+"	"FIG00000365"	"PLF_286_00000525"	"PGF_05387084"		421		"Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"	"GO:0004350|glutamate-5-semialdehyde dehydrogenase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.996"			"PATRIC.287.6615.287.6615.con.0001.CDS.1022797.1023441.fwd"	"PATRIC"	"CDS"	1022797	1023441	645	"+"		"PLF_286_00000656"	"PGF_08432396"		214		"Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)"	"GO:0004515|nicotinate-nucleotide adenylyltransferase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.997"			"PATRIC.287.6615.287.6615.con.0001.CDS.1023464.1023820.fwd"	"PATRIC"	"CDS"	1023464	1023820	357	"+"	"FIG00135315"	"PLF_286_00001948"	"PGF_00435430"		118		"Ribosomal silencing factor RsfA"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.998"			"PATRIC.287.6615.287.6615.con.0001.CDS.1023828.1024295.fwd"	"PATRIC"	"CDS"	1023828	1024295	468	"+"		"PLF_286_00000854"	"PGF_07480521"		155		"23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.999"			"PATRIC.287.6615.287.6615.con.0001.CDS.1024308.1026248.fwd"	"PATRIC"	"CDS"	1024308	1026248	1941	"+"	"FIG00143531"	"PLF_286_00000027"	"PGF_10376398"		646		"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1000"			"PATRIC.287.6615.287.6615.con.0001.CDS.1026238.1027383.fwd"	"PATRIC"	"CDS"	1026238	1027383	1146	"+"	"FIG00000803"	"PLF_286_00000426"	"PGF_01126005"		381		"Rod shape-determining protein RodA"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1001"			"PATRIC.287.6615.287.6615.con.0001.CDS.1027404.1028414.fwd"	"PATRIC"	"CDS"	1027404	1028414	1011	"+"	"FIG00004335"	"PLF_286_00000899"	"PGF_03116630"		336		"Membrane-bound lytic murein transglycosylase B"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1002"			"PATRIC.287.6615.287.6615.con.0001.CDS.1028411.1029439.fwd"	"PATRIC"	"CDS"	1028411	1029439	1029	"+"	"FIG00004744"	"PLF_286_00000163"	"PGF_09566238"		342		"Septum-associated rare lipoprotein A"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1003"			"PATRIC.287.6615.287.6615.con.0001.CDS.1029505.1030665.fwd"	"PATRIC"	"CDS"	1029505	1030665	1161	"+"	"FIG00561498"	"PLF_286_00000216"	"PGF_06594113"		386		"D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1004"			"PATRIC.287.6615.287.6615.con.0001.CDS.1030736.1031017.fwd"	"PATRIC"	"CDS"	1030736	1031017	282	"+"	"FIG00002301"	"PLF_286_00001934"	"PGF_03767152"		93		"Proposed lipoate regulatory protein YbeD"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1005"			"PATRIC.287.6615.287.6615.con.0001.CDS.1031017.1031670.fwd"	"PATRIC"	"CDS"	1031017	1031670	654	"+"	"FIG00000528"	"PLF_286_00000659"	"PGF_04007946"		217		"Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)"	"GO:0033819|lipoyl(octanoyl) transferase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1006"			"PATRIC.287.6615.287.6615.con.0001.CDS.1031667.1032650.fwd"	"PATRIC"	"CDS"	1031667	1032650	984	"+"	"FIG00000362"	"PLF_286_00000316"	"PGF_00017479"		327		"Lipoyl synthase (EC 2.8.1.8)"	"GO:0016992|lipoate synthase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.92"			"PATRIC.287.6615.287.6615.con.0001.CDS.103177.104526.rev"	"PATRIC"	"CDS"	103177	104526	1350	"-"	"FIG01202186"	"PLF_286_00001681"	"PGF_00928751"		449		"T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1007"			"PATRIC.287.6615.287.6615.con.0001.CDS.1032795.1033688.rev"	"PATRIC"	"CDS"	1032795	1033688	894	"-"	"FIG01312420"	"PLF_286_00076604"	"PGF_07987589"		297		"Transcriptional regulator, LysR family"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1008"			"PATRIC.287.6615.287.6615.con.0001.CDS.1033794.1034684.fwd"	"PATRIC"	"CDS"	1033794	1034684	891	"+"	"FIG00009455"	"PLF_286_00003603"	"PGF_00404186"		296		"probable epoxide hydrolase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1009"			"PATRIC.287.6615.287.6615.con.0001.CDS.1034794.1036140.rev"	"PATRIC"	"CDS"	1034794	1036140	1347	"-"	"FIG00004335"	"PLF_286_00002537"	"PGF_03116630"		448		"Membrane-bound lytic murein transglycosylase B"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1010"			"PATRIC.287.6615.287.6615.con.0001.CDS.1036382.1036600.fwd"	"PATRIC"	"CDS"	1036382	1036600	219	"+"	"FIG00638284"	"PLF_286_00006441"	"PGF_01380891"		72		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1011"			"PATRIC.287.6615.287.6615.con.0001.CDS.1036716.1036868.rev"	"PATRIC"	"CDS"	1036716	1036868	153	"-"	"FIG00957590"	"PLF_286_00148984"	"PGF_00259764"		50		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1012"			"PATRIC.287.6615.287.6615.con.0001.CDS.1036960.1037997.rev"	"PATRIC"	"CDS"	1036960	1037997	1038	"-"	"FIG00106663"	"PLF_286_00261014"	"PGF_09201380"		345		"DNA polymerase III delta subunit (EC 2.7.7.7)"	"GO:0003887|DNA-directed DNA polymerase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1013"			"PATRIC.287.6615.287.6615.con.0001.CDS.1038035.1038658.rev"	"PATRIC"	"CDS"	1038035	1038658	624	"-"	"FIG00001709"	"PLF_286_00004078"	"PGF_00016305"		207		"LPS-assembly lipoprotein LptE"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1014"			"PATRIC.287.6615.287.6615.con.0001.CDS.1038725.1041346.rev"	"PATRIC"	"CDS"	1038725	1041346	2622	"-"	"FIG00000114"	"PLF_286_00000219"	"PGF_06812369"		873		"Leucyl-tRNA synthetase (EC 6.1.1.4)"	"GO:0004823|leucine-tRNA ligase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1015"			"PATRIC.287.6615.287.6615.con.0001.CDS.1041517.1041948.fwd"	"PATRIC"	"CDS"	1041517	1041948	432	"+"	"FIG00954428"	"PLF_286_00002650"	"PGF_01358568"		143		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1016"			"PATRIC.287.6615.287.6615.con.0001.CDS.1042021.1042782.fwd"	"PATRIC"	"CDS"	1042021	1042782	762	"+"	"FIG01056920"	"PLF_286_00002460"	"PGF_03070382"		253		"Uncharacterized DUF218 membrane protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1017"			"PATRIC.287.6615.287.6615.con.0001.CDS.1042832.1044367.rev"	"PATRIC"	"CDS"	1042832	1044367	1536	"-"	"FIG00001006"	"PLF_286_00005796"	"PGF_02325838"		511		"Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1018"			"PATRIC.287.6615.287.6615.con.0001.CDS.1044553.1045392.rev"	"PATRIC"	"CDS"	1044553	1045392	840	"-"	"FIG00042627"	"PLF_286_00000609"	"PGF_10525969"		279		"Magnesium and cobalt efflux protein CorC"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.93"			"PATRIC.287.6615.287.6615.con.0001.CDS.104533.105867.rev"	"PATRIC"	"CDS"	104533	105867	1335	"-"	"FIG00008560"	"PLF_286_00001645"	"PGF_04819167"		444		"T6SS component TssK (ImpJ/VasE)"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1019"			"PATRIC.287.6615.287.6615.con.0001.CDS.1045389.1045871.rev"	"PATRIC"	"CDS"	1045389	1045871	483	"-"	"FIG00000233"	"PLF_286_00000704"	"PGF_00020361"		160		"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1020"			"PATRIC.287.6615.287.6615.con.0001.CDS.1045861.1046883.rev"	"PATRIC"	"CDS"	1045861	1046883	1023	"-"	"FIG00229550"	"PLF_286_00000389"	"PGF_00033237"		340		"Phosphate starvation-inducible protein PhoH, predicted ATPase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1021"			"PATRIC.287.6615.287.6615.con.0001.CDS.1047052.1048392.rev"	"PATRIC"	"CDS"	1047052	1048392	1341	"-"	"FIG00108342"	"PLF_286_00001234"	"PGF_08562657"		446		"tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1022"			"PATRIC.287.6615.287.6615.con.0001.CDS.1048521.1048853.fwd"	"PATRIC"	"CDS"	1048521	1048853	333	"+"	"FIG00955337"	"PLF_286_00001179"	"PGF_00393682"		110		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1023"			"PATRIC.287.6615.287.6615.con.0001.CDS.1048869.1049417.rev"	"PATRIC"	"CDS"	1048869	1049417	549	"-"	"FIG00740963"	"PLF_286_00001295"	"PGF_00003997"		182		"FOG: TPR repeat, SEL1 subfamily"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1024"			"PATRIC.287.6615.287.6615.con.0001.CDS.1049626.1050909.rev"	"PATRIC"	"CDS"	1049626	1050909	1284	"-"	"FIG00000338"	"PLF_286_00000383"	"PGF_09019918"		427		"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)"	"GO:0042286|glutamate-1-semialdehyde 2,1-aminomutase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1025"			"PATRIC.287.6615.287.6615.con.0001.CDS.1050947.1051576.rev"	"PATRIC"	"CDS"	1050947	1051576	630	"-"	"FIG00000407"	"PLF_286_00278793"	"PGF_01291823"		209		"Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)"	"GO:0004789|thiamine-phosphate diphosphorylase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1026"			"PATRIC.287.6615.287.6615.con.0001.CDS.1051587.1052384.rev"	"PATRIC"	"CDS"	1051587	1052384	798	"-"		"PLF_286_00000935"	"PGF_05520131"		265		"Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)"	"GO:0008972|phosphomethylpyrimidine kinase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1027"			"PATRIC.287.6615.287.6615.con.0001.CDS.1052595.1054982.fwd"	"PATRIC"	"CDS"	1052595	1054982	2388	"+"	"FIG00450955"	"PLF_286_00001653"	"PGF_10364197"		795		"Two-component system sensor histidine kinase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1028"			"PATRIC.287.6615.287.6615.con.0001.CDS.1055088.1055735.fwd"	"PATRIC"	"CDS"	1055088	1055735	648	"+"	"FIG00554417"	"PLF_286_00002614"	"PGF_10436598"		215		"Transcriptional regulator, AcrR family"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1029"			"PATRIC.287.6615.287.6615.con.0001.CDS.1055732.1057381.fwd"	"PATRIC"	"CDS"	1055732	1057381	1650	"+"	"FIG00002266"	"PLF_286_00001236"	"PGF_10428547"		549		"Acyl-CoA dehydrogenase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1030"			"PATRIC.287.6615.287.6615.con.0001.CDS.1057393.1057824.fwd"	"PATRIC"	"CDS"	1057393	1057824	432	"+"	"FIG00114965"	"PLF_286_00003905"	"PGF_00056559"		143		"Thioesterase"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1031"			"PATRIC.287.6615.287.6615.con.0001.CDS.1057903.1059378.fwd"	"PATRIC"	"CDS"	1057903	1059378	1476	"+"	"FIG00001232"	"PLF_286_00000465"	"PGF_00013801"		491		"AMP nucleosidase (EC 3.2.2.4)"	"GO:0008714|AMP nucleosidase activity"
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.94"			"PATRIC.287.6615.287.6615.con.0001.CDS.105883.106347.rev"	"PATRIC"	"CDS"	105883	106347	465	"-"	"FIG00014305"	"PLF_286_00004877"	"PGF_03729138"		154		"T6SS secretion lipoprotein TssJ (VasD)"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1032"			"PATRIC.287.6615.287.6615.con.0001.CDS.1059529.1060095.fwd"	"PATRIC"	"CDS"	1059529	1060095	567	"+"	"FIG00956084"	"PLF_286_00005261"	"PGF_00883685"		188		"FIG00956085: hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1033"			"PATRIC.287.6615.287.6615.con.0001.CDS.1060053.1061138.rev"	"PATRIC"	"CDS"	1060053	1061138	1086	"-"	"FIG01371060"	"PLF_286_00002975"	"PGF_05806155"		361		"Outer membrane protein romA"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1034"			"PATRIC.287.6615.287.6615.con.0001.CDS.1061220.1061846.fwd"	"PATRIC"	"CDS"	1061220	1061846	627	"+"	"FIG00507591"	"PLF_286_00000922"	"PGF_02589988"		208		"LSU rRNA pseudouridine(2457) synthase (EC 5.4.99.20)"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1035"			"PATRIC.287.6615.287.6615.con.0001.CDS.1061880.1062272.rev"	"PATRIC"	"CDS"	1061880	1062272	393	"-"	"FIG00954627"	"PLF_286_00002199"	"PGF_00419625"		130		"Coproporphyrinogen III oxidase and related Fe-S oxidoreductases"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1036"			"PATRIC.287.6615.287.6615.con.0001.CDS.1062373.1062582.rev"	"PATRIC"	"CDS"	1062373	1062582	210	"-"	"FIG00954138"	"PLF_286_00001370"	"PGF_00243383"		69		"Uncharacterized protein PA3966"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1037"			"PATRIC.287.6615.287.6615.con.0001.CDS.1062784.1063293.rev"	"PATRIC"	"CDS"	1062784	1063293	510	"-"	"FIG01956023"	"PLF_286_00000722"	"PGF_01424767"		169		"Transcriptional regulator, AsnC family"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1038"			"PATRIC.287.6615.287.6615.con.0001.CDS.1063720.1064397.fwd"	"PATRIC"	"CDS"	1063720	1064397	678	"+"	"FIG00954852"	"PLF_286_00004964"	"PGF_08225224"		225		"hypothetical protein"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.95"			"PATRIC.287.6615.287.6615.con.0001.CDS.106392.107885.rev"	"PATRIC"	"CDS"	106392	107885	1494	"-"	"FIG00014175"	"PLF_286_00001614"	"PGF_01889549"		497		"T6SS forkhead associated domain protein ImpI/VasC"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1039"			"PATRIC.287.6615.287.6615.con.0001.CDS.1064416.1065312.rev"	"PATRIC"	"CDS"	1064416	1065312	897	"-"	"FIG00000207"	"PLF_286_00000741"	"PGF_00069596"		298		"Ferrous-iron efflux pump FieF"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1040"			"PATRIC.287.6615.287.6615.con.0001.CDS.1065401.1065817.rev"	"PATRIC"	"CDS"	1065401	1065817	417	"-"	"FIG01405337"	"PLF_286_00096652"	"PGF_03050552"		138		"Uncharacterized protein PA3962"	
"Pseudomonas aeruginosa F9670"	"287.6615"	"287.6615.con.0001"	"fig|287.6615.peg.1041"			"PATRIC.287.6615.287.6615.con.0001.CDS.1065959.1068475.fwd"	"PATRIC"	"CDS"	1065959	1068475	2517	"+"	"FIG01045463"	"PLF_286_00000035"	"PGF_06949599"		838		"ATP-dependent helicase HrpB"	
