PA14,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6656.peg.1,fig|287.6613.peg.1,fig|287.6611.peg.1,fig|287.6614.peg.1,fig|287.6616.peg.1,fig|287.6612.peg.1,fig|287.6618.peg.1,fig|287.6615.peg.1,fig|287.6617.peg.1,fig|287.6621.peg.1,fig|287.6619.peg.1,fig|287.6622.peg.1,fig|287.6623.peg.1,fig|287.6624.peg.1,fig|287.6625.peg.1,fig|287.6657.peg.1,fig|287.6655.peg.1,fig|287.6631.peg.1,fig|287.6628.peg.1,fig|287.6632.peg.1,fig|287.6629.peg.1,fig|287.6635.peg.1,fig|287.6633.peg.1,fig|287.6634.peg.1,fig|287.6637.peg.1,fig|287.6636.peg.1,fig|287.6620.peg.1,fig|287.6630.peg.1,fig|287.6639.peg.1,fig|287.6638.peg.1,fig|287.6627.peg.1
fig|287.6656.peg.2,fig|287.6613.peg.2,fig|287.6611.peg.2,fig|287.6614.peg.2,fig|287.6616.peg.2,fig|287.6612.peg.2,fig|287.6618.peg.2,fig|287.6615.peg.2,fig|287.6617.peg.2,fig|287.6621.peg.2,fig|287.6619.peg.2,fig|287.6622.peg.2,fig|287.6623.peg.2,fig|287.6624.peg.2,fig|287.6625.peg.2,fig|287.6657.peg.2,fig|287.6655.peg.2,fig|287.6631.peg.2,fig|287.6628.peg.2,fig|287.6632.peg.2,fig|287.6629.peg.2,fig|287.6635.peg.2,fig|287.6633.peg.2,fig|287.6634.peg.2,fig|287.6637.peg.2,fig|287.6636.peg.2,fig|287.6620.peg.2,fig|287.6630.peg.2,fig|287.6639.peg.2,fig|287.6638.peg.2,fig|287.6627.peg.2
fig|287.6656.peg.3,fig|287.6613.peg.3,fig|287.6611.peg.3,fig|287.6614.peg.3,fig|287.6616.peg.3,fig|287.6612.peg.3,fig|287.6618.peg.3,fig|287.6615.peg.3,fig|287.6617.peg.3,fig|287.6621.peg.3,fig|287.6619.peg.3,fig|287.6622.peg.3,fig|287.6623.peg.3,fig|287.6624.peg.3,fig|287.6625.peg.3,fig|287.6657.peg.3,fig|287.6655.peg.3,fig|287.6631.peg.3,fig|287.6628.peg.3,fig|287.6632.peg.3,fig|287.6629.peg.3,fig|287.6635.peg.3,fig|287.6633.peg.3,fig|287.6634.peg.3,fig|287.6637.peg.3,fig|287.6636.peg.3,fig|287.6620.peg.3,fig|287.6630.peg.3,fig|287.6639.peg.3,fig|287.6638.peg.3,fig|287.6627.peg.3
fig|287.6656.peg.4,fig|287.6613.peg.4,fig|287.6611.peg.4,fig|287.6614.peg.4,fig|287.6616.peg.4,fig|287.6612.peg.4,fig|287.6618.peg.4,fig|287.6615.peg.4,fig|287.6617.peg.4,fig|287.6621.peg.4,fig|287.6619.peg.4,fig|287.6622.peg.4,fig|287.6623.peg.4,fig|287.6624.peg.4,fig|287.6625.peg.4,fig|287.6657.peg.4,fig|287.6655.peg.4,fig|287.6631.peg.4,fig|287.6628.peg.4,fig|287.6632.peg.4,fig|287.6629.peg.4,fig|287.6635.peg.4,fig|287.6633.peg.4,fig|287.6634.peg.4,fig|287.6637.peg.4,fig|287.6636.peg.4,fig|287.6620.peg.4,fig|287.6630.peg.4,fig|287.6639.peg.4,fig|287.6638.peg.4,fig|287.6627.peg.4
fig|287.6656.peg.6,fig|287.6613.peg.5,fig|287.6611.peg.5,fig|287.6614.peg.5,fig|287.6616.peg.5,fig|287.6612.peg.6,fig|287.6618.peg.5,fig|287.6615.peg.12,fig|287.6617.peg.5,fig|287.6621.peg.5,fig|287.6619.peg.5,fig|287.6622.peg.6,fig|287.6623.peg.6,fig|287.6624.peg.5,fig|287.6625.peg.5,fig|287.6657.peg.5,fig|287.6655.peg.5,fig|287.6631.peg.10,fig|287.6628.peg.13,fig|287.6632.peg.5,fig|287.6629.peg.10,fig|287.6635.peg.5,fig|287.6633.peg.5,fig|287.6634.peg.5,fig|287.6637.peg.5,fig|287.6636.peg.5,fig|287.6620.peg.5,fig|287.6630.peg.5,fig|287.6639.peg.5,fig|287.6638.peg.11,fig|287.6627.peg.5
fig|287.6656.peg.7,fig|287.6613.peg.6,fig|287.6611.peg.6,fig|287.6614.peg.6,fig|287.6616.peg.6,fig|287.6612.peg.7,fig|287.6618.peg.6,fig|287.6615.peg.13,fig|287.6617.peg.6,fig|287.6621.peg.6,fig|287.6619.peg.6,fig|287.6622.peg.7,fig|287.6623.peg.7,fig|287.6624.peg.6,fig|287.6625.peg.6,fig|287.6657.peg.6,fig|287.6655.peg.6,fig|287.6631.peg.11,fig|287.6628.peg.14,fig|287.6632.peg.6,fig|287.6629.peg.11,fig|287.6635.peg.6,fig|287.6633.peg.6,fig|287.6634.peg.6,fig|287.6637.peg.6,fig|287.6636.peg.6,fig|287.6620.peg.6,fig|287.6630.peg.6,fig|287.6639.peg.6,fig|287.6638.peg.12,fig|287.6627.peg.6
fig|287.6656.peg.9,fig|287.6613.peg.8,fig|287.6611.peg.8,fig|287.6614.peg.8,fig|287.6616.peg.8,fig|287.6612.peg.9,fig|287.6618.peg.8,fig|287.6615.peg.15,fig|287.6617.peg.8,fig|287.6621.peg.8,fig|287.6619.peg.8,fig|287.6622.peg.9,fig|287.6623.peg.9,fig|287.6624.peg.8,fig|287.6625.peg.8,fig|287.6657.peg.8,fig|287.6655.peg.8,fig|287.6631.peg.13,fig|287.6628.peg.16,fig|287.6632.peg.8,fig|287.6629.peg.13,fig|287.6635.peg.8,fig|287.6633.peg.8,fig|287.6634.peg.8,fig|287.6637.peg.8,fig|287.6636.peg.8,fig|287.6620.peg.8,fig|287.6630.peg.8,fig|287.6639.peg.8,fig|287.6638.peg.14,fig|287.6627.peg.8
fig|287.6656.peg.10,fig|287.6613.peg.9,fig|287.6611.peg.9,fig|287.6614.peg.9,fig|287.6616.peg.9,fig|287.6612.peg.10,fig|287.6618.peg.9,fig|287.6615.peg.16,fig|287.6617.peg.9,fig|287.6621.peg.9,fig|287.6619.peg.9,fig|287.6622.peg.10,fig|287.6623.peg.10,fig|287.6624.peg.9,fig|287.6625.peg.9,fig|287.6657.peg.9,fig|287.6655.peg.9,fig|287.6631.peg.14,fig|287.6628.peg.17,fig|287.6632.peg.9,fig|287.6629.peg.14,fig|287.6635.peg.9,fig|287.6633.peg.9,fig|287.6634.peg.9,fig|287.6637.peg.9,fig|287.6636.peg.9,fig|287.6620.peg.9,fig|287.6630.peg.9,fig|287.6639.peg.9,fig|287.6638.peg.15,fig|287.6627.peg.9
fig|287.6656.peg.11,fig|287.6613.peg.10,fig|287.6611.peg.10,fig|287.6614.peg.10,fig|287.6616.peg.10,fig|287.6612.peg.11,fig|287.6618.peg.10,fig|287.6615.peg.17,fig|287.6617.peg.10,fig|287.6621.peg.10,fig|287.6619.peg.10,fig|287.6622.peg.11,fig|287.6623.peg.11,fig|287.6624.peg.10,fig|287.6625.peg.10,fig|287.6657.peg.10,fig|287.6655.peg.10,fig|287.6631.peg.15,fig|287.6628.peg.18,fig|287.6632.peg.10,fig|287.6629.peg.15,fig|287.6635.peg.10,fig|287.6633.peg.10,fig|287.6634.peg.10,fig|287.6637.peg.10,fig|287.6636.peg.10,fig|287.6620.peg.10,fig|287.6630.peg.10,fig|287.6639.peg.10,fig|287.6638.peg.16,fig|287.6627.peg.10
fig|287.6656.peg.12,fig|287.6613.peg.11,fig|287.6611.peg.11,fig|287.6614.peg.11,fig|287.6616.peg.11,fig|287.6612.peg.12,fig|287.6618.peg.11,fig|287.6615.peg.18,fig|287.6617.peg.11,fig|287.6621.peg.11,fig|287.6619.peg.11,fig|287.6622.peg.12,fig|287.6623.peg.12,fig|287.6624.peg.11,fig|287.6625.peg.11,fig|287.6657.peg.11,fig|287.6655.peg.11,fig|287.6631.peg.16,fig|287.6628.peg.19,fig|287.6632.peg.11,fig|287.6629.peg.16,fig|287.6635.peg.11,fig|287.6633.peg.11,fig|287.6634.peg.11,fig|287.6637.peg.11,fig|287.6636.peg.11,fig|287.6620.peg.11,fig|287.6630.peg.11,fig|287.6639.peg.11,fig|287.6638.peg.17,fig|287.6627.peg.11
