Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.956"			"PATRIC.287.6647.287.6647.con.0001.CDS.1000584.1003559.rev"	"PATRIC"	"CDS"	1000584	1003559	2976	"-"	"FIG00956882"	"PLF_286_00211564"	"PGF_10503453"		991		"Polyketide synthase modules and related proteins"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.957"			"PATRIC.287.6647.287.6647.con.0001.CDS.1003770.1003976.rev"	"PATRIC"	"CDS"	1003770	1003976	207	"-"	"FIG00954638"	"PLF_286_00156474"	"PGF_06335969"		68		"Transcriptional regulator, Xre family"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.958"			"PATRIC.287.6647.287.6647.con.0001.CDS.1003973.1004347.rev"	"PATRIC"	"CDS"	1003973	1004347	375	"-"	"FIG00954820"	"PLF_286_00004371"	"PGF_08225224"		124		"hypothetical protein"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.959"			"PATRIC.287.6647.287.6647.con.0001.CDS.1004454.1005287.fwd"	"PATRIC"	"CDS"	1004454	1005287	834	"+"	"FIG00515945"	"PLF_286_00004898"	"PGF_06788576"		277		"SAM-dependent methyltransferase"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.94"			"PATRIC.287.6647.287.6647.con.0001.CDS.100511.101029.fwd"	"PATRIC"	"CDS"	100511	101029	519	"+"	"FIG00005165"	"PLF_286_00001640"	"PGF_01645412"		172		"T6SS component TssB (ImpB/VipA)"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.960"			"PATRIC.287.6647.287.6647.con.0001.CDS.1005284.1005952.rev"	"PATRIC"	"CDS"	1005284	1005952	669	"-"	"FIG00003845"	"PLF_286_00003822"	"PGF_00058095"		222		"Transcriptional regulator"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.961"			"PATRIC.287.6647.287.6647.con.0001.CDS.1006181.1007668.fwd"	"PATRIC"	"CDS"	1006181	1007668	1488	"+"	"FIG00134532"	"PLF_286_00002720"	"PGF_00033029"		495		"Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)"	"GO:0008957|phenylacetaldehyde dehydrogenase activity"
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.962"			"PATRIC.287.6647.287.6647.con.0001.CDS.1007836.1009326.fwd"	"PATRIC"	"CDS"	1007836	1009326	1491	"+"	"FIG00959007"	"PLF_286_00002722"	"PGF_00778630"		496		"Uncharacterized amino acid permease, GabP family"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.963"			"PATRIC.287.6647.287.6647.con.0001.CDS.1009301.1009879.fwd"	"PATRIC"	"CDS"	1009301	1009879	579	"+"	"FIG00954771"	"PLF_286_00003930"	"PGF_00374706"		192		"hypothetical protein"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.964"			"PATRIC.287.6647.287.6647.con.0001.CDS.1010040.1010990.fwd"	"PATRIC"	"CDS"	1010040	1010990	951	"+"	"FIG00510130"	"PLF_286_00165367"	"PGF_01671660"		316		"Transcriptional regulator, AraC family"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.95"			"PATRIC.287.6647.287.6647.con.0001.CDS.101042.102538.fwd"	"PATRIC"	"CDS"	101042	102538	1497	"+"	"FIG00004734"	"PLF_286_00001618"	"PGF_04816404"		498		"T6SS component TssC (ImpC/VipB)"	
"Pseudomonas aeruginosa RSW8"	"287.6647"	"287.6647.con.0001"	"fig|287.6647.peg.965"			"PATRIC.287.6647.287.6647.con.0001.CDS.1011259.1012143.fwd"	"PATRIC"	"CDS"	1011259	1012143	885	"+"	"FIG00000368"	"PLF_286_00001034"	"PGF_00571237"		294		"dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)"	"GO:0008831|dTDP-4-dehydrorhamnose reductase activity"
