Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.954"			"PATRIC.287.6642.287.6642.con.0001.CDS.1000587.1003562.rev"	"PATRIC"	"CDS"	1000587	1003562	2976	"-"	"FIG00956882"	"PLF_286_00211564"	"PGF_10503453"		991		"Polyketide synthase modules and related proteins"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.955"			"PATRIC.287.6642.287.6642.con.0001.CDS.1003773.1003979.rev"	"PATRIC"	"CDS"	1003773	1003979	207	"-"	"FIG00954638"	"PLF_286_00156474"	"PGF_06335969"		68		"Transcriptional regulator, Xre family"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.956"			"PATRIC.287.6642.287.6642.con.0001.CDS.1003976.1004350.rev"	"PATRIC"	"CDS"	1003976	1004350	375	"-"	"FIG00954820"	"PLF_286_00004371"	"PGF_08225224"		124		"hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.957"			"PATRIC.287.6642.287.6642.con.0001.CDS.1004457.1005290.fwd"	"PATRIC"	"CDS"	1004457	1005290	834	"+"	"FIG00515945"	"PLF_286_00004898"	"PGF_06788576"		277		"SAM-dependent methyltransferase"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.94"			"PATRIC.287.6642.287.6642.con.0001.CDS.100511.101029.fwd"	"PATRIC"	"CDS"	100511	101029	519	"+"	"FIG00005165"	"PLF_286_00001640"	"PGF_01645412"		172		"T6SS component TssB (ImpB/VipA)"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.958"			"PATRIC.287.6642.287.6642.con.0001.CDS.1005287.1005955.rev"	"PATRIC"	"CDS"	1005287	1005955	669	"-"	"FIG00003845"	"PLF_286_00003822"	"PGF_00058095"		222		"Transcriptional regulator"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.959"			"PATRIC.287.6642.287.6642.con.0001.CDS.1006184.1007671.fwd"	"PATRIC"	"CDS"	1006184	1007671	1488	"+"	"FIG00134532"	"PLF_286_00002720"	"PGF_00033029"		495		"Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)"	"GO:0008957|phenylacetaldehyde dehydrogenase activity"
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.960"			"PATRIC.287.6642.287.6642.con.0001.CDS.1007839.1009329.fwd"	"PATRIC"	"CDS"	1007839	1009329	1491	"+"	"FIG00959007"	"PLF_286_00002722"	"PGF_00778630"		496		"Uncharacterized amino acid permease, GabP family"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.961"			"PATRIC.287.6642.287.6642.con.0001.CDS.1009304.1009882.fwd"	"PATRIC"	"CDS"	1009304	1009882	579	"+"	"FIG00954771"	"PLF_286_00003930"	"PGF_00374706"		192		"hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.962"			"PATRIC.287.6642.287.6642.con.0001.CDS.1010043.1010993.fwd"	"PATRIC"	"CDS"	1010043	1010993	951	"+"	"FIG00510130"	"PLF_286_00165367"	"PGF_01671660"		316		"Transcriptional regulator, AraC family"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.95"			"PATRIC.287.6642.287.6642.con.0001.CDS.101042.102538.fwd"	"PATRIC"	"CDS"	101042	102538	1497	"+"	"FIG00004734"	"PLF_286_00001618"	"PGF_04816404"		498		"T6SS component TssC (ImpC/VipB)"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.963"			"PATRIC.287.6642.287.6642.con.0001.CDS.1011262.1012146.fwd"	"PATRIC"	"CDS"	1011262	1012146	885	"+"	"FIG00000368"	"PLF_286_00001034"	"PGF_00571237"		294		"dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)"	"GO:0008831|dTDP-4-dehydrorhamnose reductase activity"
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.964"			"PATRIC.287.6642.287.6642.con.0001.CDS.1012139.1013068.fwd"	"PATRIC"	"CDS"	1012139	1013068	930	"+"	"FIG00022300"	"PLF_286_00005818"	"PGF_01033123"		309		"UDP-glucose 4-epimerase (EC 5.1.3.2)"	"GO:0003978|UDP-glucose 4-epimerase activity"
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.965"			"PATRIC.287.6642.287.6642.con.0001.CDS.1013069.1013425.rev"	"PATRIC"	"CDS"	1013069	1013425	357	"-"	"FIG00961522"	"PLF_286_00086892"	"PGF_00339345"		118		"hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.966"			"PATRIC.287.6642.287.6642.con.0001.CDS.1013509.1014207.rev"	"PATRIC"	"CDS"	1013509	1014207	699	"-"	"FIG00905622"	"PLF_286_00003237"	"PGF_00027212"		232		"Outer membrane protein W precursor"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.967"			"PATRIC.287.6642.287.6642.con.0001.CDS.1014355.1014873.rev"	"PATRIC"	"CDS"	1014355	1014873	519	"-"	"FIG00955286"	"PLF_286_00045461"	"PGF_01167573"		172		"FIG003461: hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.968"			"PATRIC.287.6642.287.6642.con.0001.CDS.1014891.1016156.rev"	"PATRIC"	"CDS"	1014891	1016156	1266	"-"	"FIG00918569"	"PLF_286_00000684"	"PGF_01889881"		421		"ABC-type antimicrobial peptide transport system, permease component"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.969"			"PATRIC.287.6642.287.6642.con.0001.CDS.1016159.1016863.rev"	"PATRIC"	"CDS"	1016159	1016863	705	"-"	"FIG01320985"	"PLF_286_00112228"	"PGF_10347576"		234		"ABC-type antimicrobial peptide transport system, ATPase component"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.970"			"PATRIC.287.6642.287.6642.con.0001.CDS.1016952.1017524.rev"	"PATRIC"	"CDS"	1016952	1017524	573	"-"	"FIG01426947"	"PLF_286_00361327"	"PGF_00036531"		190		"Predicted zinc-binding protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.971"			"PATRIC.287.6642.287.6642.con.0001.CDS.1017657.1018013.fwd"	"PATRIC"	"CDS"	1017657	1018013	357	"+"	"FIG00954754"	"PLF_286_00003754"	"PGF_08225224"		118		"hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.972"			"PATRIC.287.6642.287.6642.con.0001.CDS.1018038.1018907.rev"	"PATRIC"	"CDS"	1018038	1018907	870	"-"		"PLF_286_00000746"	"PGF_03863088"		289		"FIG000875: Thioredoxin domain-containing protein EC-YbbN"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.973"			"PATRIC.287.6642.287.6642.con.0001.CDS.1018979.1019641.rev"	"PATRIC"	"CDS"	1018979	1019641	663	"-"	"FIG01349516"	"PLF_286_00051908"	"PGF_08225224"		220		"hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.974"			"PATRIC.287.6642.287.6642.con.0001.CDS.1019638.1020096.rev"	"PATRIC"	"CDS"	1019638	1020096	459	"-"	"FIG00947911"	"PLF_286_00003851"	"PGF_00407946"		152		"putative lipoprotein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.975"			"PATRIC.287.6642.287.6642.con.0001.CDS.1020095.1020322.fwd"	"PATRIC"	"CDS"	1020095	1020322	228	"+"	"FIG00954670"	"PLF_286_00005354"	"PGF_00213871"		75		"FIG00954671: hypothetical protein"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.976"			"PATRIC.287.6642.287.6642.con.0001.CDS.1020294.1020758.fwd"	"PATRIC"	"CDS"	1020294	1020758	465	"+"	"FIG00000382"	"PLF_286_00000977"	"PGF_00048643"		154		"Ribonucleotide reductase transcriptional regulator NrdR"	
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.977"			"PATRIC.287.6642.287.6642.con.0001.CDS.1020755.1021876.fwd"	"PATRIC"	"CDS"	1020755	1021876	1122	"+"	"FIG00000384"	"PLF_286_00000312"	"PGF_00423089"		373		"Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)"	"GO:0008835|diaminohydroxyphosphoribosylaminopyrimidine deaminase activity;GO:0008703|5-amino-6-(5-phosphoribosylamino)uracil reductase activity"
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.978"			"PATRIC.287.6642.287.6642.con.0001.CDS.1022304.1022963.fwd"	"PATRIC"	"CDS"	1022304	1022963	660	"+"	"FIG00000273"	"PLF_286_00000843"	"PGF_03751076"		219		"Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)"	"GO:0004746|riboflavin synthase activity"
"Pseudomonas aeruginosa BLD16.1"	"287.6642"	"287.6642.con.0001"	"fig|287.6642.peg.979"			"PATRIC.287.6642.287.6642.con.0001.CDS.1022990.1024087.fwd"	"PATRIC"	"CDS"	1022990	1024087	1098	"+"	"FIG00000378"	"PLF_286_00000513"	"PGF_00416674"		365		"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"	"GO:0008686|3,4-dihydroxy-2-butanone-4-phosphate synthase activity;GO:0003935|GTP cyclohydrolase II activity"
