Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.975"			"PATRIC.287.6626.287.6626.con.0001.CDS.1000450.1001154.rev"	"PATRIC"	"CDS"	1000450	1001154	705	"-"	"FIG01320985"	"PLF_286_00112228"	"PGF_10347576"		234		"ABC-type antimicrobial peptide transport system, ATPase component"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.976"			"PATRIC.287.6626.287.6626.con.0001.CDS.1001243.1001815.rev"	"PATRIC"	"CDS"	1001243	1001815	573	"-"	"FIG01426947"	"PLF_286_00361327"	"PGF_00036531"		190		"Predicted zinc-binding protein"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.977"			"PATRIC.287.6626.287.6626.con.0001.CDS.1001948.1002304.fwd"	"PATRIC"	"CDS"	1001948	1002304	357	"+"	"FIG00954754"	"PLF_286_00003754"	"PGF_08225224"		118		"hypothetical protein"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.978"			"PATRIC.287.6626.287.6626.con.0001.CDS.1002329.1003198.rev"	"PATRIC"	"CDS"	1002329	1003198	870	"-"	"FIG01303892"	"PLF_286_00000746"	"PGF_03863088"		289		"FIG000875: Thioredoxin domain-containing protein EC-YbbN"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.979"			"PATRIC.287.6626.287.6626.con.0001.CDS.1003270.1003932.rev"	"PATRIC"	"CDS"	1003270	1003932	663	"-"	"FIG01349516"	"PLF_286_00051908"	"PGF_08225224"		220		"hypothetical protein"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.980"			"PATRIC.287.6626.287.6626.con.0001.CDS.1003929.1004387.rev"	"PATRIC"	"CDS"	1003929	1004387	459	"-"	"FIG00947911"	"PLF_286_00003851"	"PGF_00407946"		152		"putative lipoprotein"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.981"			"PATRIC.287.6626.287.6626.con.0001.CDS.1004386.1004613.fwd"	"PATRIC"	"CDS"	1004386	1004613	228	"+"	"FIG00954670"	"PLF_286_00005354"	"PGF_00213871"		75		"FIG00954671: hypothetical protein"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.982"			"PATRIC.287.6626.287.6626.con.0001.CDS.1004621.1005049.fwd"	"PATRIC"	"CDS"	1004621	1005049	429	"+"	"FIG00000382"	"PLF_286_00000977"	"PGF_00048643"		142		"Ribonucleotide reductase transcriptional regulator NrdR"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.983"			"PATRIC.287.6626.287.6626.con.0001.CDS.1005046.1006167.fwd"	"PATRIC"	"CDS"	1005046	1006167	1122	"+"	"FIG00000384"	"PLF_286_00000312"	"PGF_00423089"		373		"Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)"	"GO:0008835|diaminohydroxyphosphoribosylaminopyrimidine deaminase activity;GO:0008703|5-amino-6-(5-phosphoribosylamino)uracil reductase activity"
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.984"			"PATRIC.287.6626.287.6626.con.0001.CDS.1006595.1007254.fwd"	"PATRIC"	"CDS"	1006595	1007254	660	"+"	"FIG00000273"	"PLF_286_00000843"	"PGF_03751076"		219		"Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)"	"GO:0004746|riboflavin synthase activity"
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.985"			"PATRIC.287.6626.287.6626.con.0001.CDS.1007281.1008378.fwd"	"PATRIC"	"CDS"	1007281	1008378	1098	"+"	"FIG00000378"	"PLF_286_00000513"	"PGF_00416674"		365		"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"	"GO:0008686|3,4-dihydroxy-2-butanone-4-phosphate synthase activity;GO:0003935|GTP cyclohydrolase II activity"
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.86"			"PATRIC.287.6626.287.6626.con.0001.CDS.100822.102156.rev"	"PATRIC"	"CDS"	100822	102156	1335	"-"	"FIG00008560"	"PLF_286_00001645"	"PGF_04819167"		444		"T6SS component TssK (ImpJ/VasE)"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.986"			"PATRIC.287.6626.287.6626.con.0001.CDS.1008496.1008972.fwd"	"PATRIC"	"CDS"	1008496	1008972	477	"+"	"FIG00000231"	"PLF_286_00000883"	"PGF_00426932"		158		"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.987"			"PATRIC.287.6626.287.6626.con.0001.CDS.1008969.1009448.fwd"	"PATRIC"	"CDS"	1008969	1009448	480	"+"	"FIG00016836"	"PLF_286_00151160"	"PGF_10450086"		159		"Transcription termination protein NusB"	
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.988"			"PATRIC.287.6626.287.6626.con.0001.CDS.1009467.1010435.fwd"	"PATRIC"	"CDS"	1009467	1010435	969	"+"	"FIG00000570"	"PLF_286_00051807"	"PGF_02191019"		322		"Thiamine-monophosphate kinase (EC 2.7.4.16)"	"GO:0009030|thiamine-phosphate kinase activity"
"Pseudomonas aeruginosa RMI"	"287.6626"	"287.6626.con.0001"	"fig|287.6626.peg.989"			"PATRIC.287.6626.287.6626.con.0001.CDS.1010428.1010943.fwd"	"PATRIC"	"CDS"	1010428	1010943	516	"+"	"FIG00000982"	"PLF_286_00001444"	"PGF_06458877"		171		"Phosphatidylglycerophosphatase A (EC 3.1.3.27)"	"GO:0008962|phosphatidylglycerophosphatase activity"
