Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.955"			"PATRIC.287.6627.287.6627.con.0001.CDS.1000355.1000984.fwd"	"PATRIC"	"CDS"	1000355	1000984	630	"+"	"FIG00000573"	"PLF_286_00001079"	"PGF_08473931"		209		"Flavin prenyltransferase UbiX"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.956"			"PATRIC.287.6627.287.6627.con.0001.CDS.1000986.1001261.fwd"	"PATRIC"	"CDS"	1000986	1001261	276	"+"	"FIG00947911"	"PLF_286_00002478"	"PGF_06919539"		91		"hypothetical protein"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.957"			"PATRIC.287.6627.287.6627.con.0001.CDS.1001281.1001922.rev"	"PATRIC"	"CDS"	1001281	1001922	642	"-"	"FIG00905558"	"PLF_286_00005143"	"PGF_03331199"		213		"Uncharacterized protein YraR"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.958"			"PATRIC.287.6627.287.6627.con.0001.CDS.1001969.1003708.rev"	"PATRIC"	"CDS"	1001969	1003708	1740	"-"	"FIG00954052"	"PLF_286_00056631"	"PGF_00410111"		579		"putative phosphatidylinositol-4-phosphate 5-kinase"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.91"			"PATRIC.287.6627.287.6627.con.0001.CDS.100365.100487.fwd"	"PATRIC"	"CDS"	100365	100487	123	"+"	"FIG00954732"				40		"FIG00954733: hypothetical protein"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.959"			"PATRIC.287.6627.287.6627.con.0001.CDS.1003899.1004354.rev"	"PATRIC"	"CDS"	1003899	1004354	456	"-"	"FIG01303815"	"PLF_286_00002392"	"PGF_01389504"		151		"Acyl dehydratase"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.960"			"PATRIC.287.6627.287.6627.con.0001.CDS.1004500.1004910.fwd"	"PATRIC"	"CDS"	1004500	1004910	411	"+"	"FIG00000832"	"PLF_286_00000968"	"PGF_00059509"		136		"Antiholin-like protein LrgA"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.961"			"PATRIC.287.6627.287.6627.con.0001.CDS.1004910.1005620.fwd"	"PATRIC"	"CDS"	1004910	1005620	711	"+"	"FIG00000822"	"PLF_286_00000099"	"PGF_00017655"		236		"LrgA-associated membrane protein LrgB"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.962"			"PATRIC.287.6627.287.6627.con.0001.CDS.1005640.1006233.fwd"	"PATRIC"	"CDS"	1005640	1006233	594	"+"	"FIG00138231"	"PLF_286_00436660"	"PGF_02866109"		197		"Uncharacterized protein, similar to the N-terminal domain of Lon protease"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.963"			"PATRIC.287.6627.287.6627.con.0001.CDS.1006244.1007557.rev"	"PATRIC"	"CDS"	1006244	1007557	1314	"-"	"FIG00638284"	"PLF_286_00003106"	"PGF_06833838"		437		"putative membrane-associated phospholipid phosphatase, PAP2 superfamily"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.92"			"PATRIC.287.6627.287.6627.con.0001.CDS.100723.101757.fwd"	"PATRIC"	"CDS"	100723	101757	1035	"+"	"FIG00003132"	"PLF_286_00002645"	"PGF_04998625"		344		"T6SS component TssA (ImpA)"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.964"			"PATRIC.287.6627.287.6627.con.0001.CDS.1007554.1008273.rev"	"PATRIC"	"CDS"	1007554	1008273	720	"-"	"FIG00001134"	"PLF_286_00002847"	"PGF_00419930"		239		"3-methyladenine DNA glycosylase"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.965"			"PATRIC.287.6627.287.6627.con.0001.CDS.1008337.1009194.fwd"	"PATRIC"	"CDS"	1008337	1009194	858	"+"	"FIG01313020"	"PLF_286_00002817"	"PGF_00026617"		285		"O-Methyltransferase involved in polyketide biosynthesis"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.966"			"PATRIC.287.6627.287.6627.con.0001.CDS.1009202.1010425.rev"	"PATRIC"	"CDS"	1009202	1010425	1224	"-"	"FIG00638284"	"PLF_286_00002871"	"PGF_12895065"		407		"Putative hydrolase"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.967"			"PATRIC.287.6627.287.6627.con.0001.CDS.1010723.1011988.fwd"	"PATRIC"	"CDS"	1010723	1011988	1266	"+"	"FIG00000365"	"PLF_286_00000525"	"PGF_05387084"		421		"Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"	"GO:0004350|glutamate-5-semialdehyde dehydrogenase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.968"			"PATRIC.287.6627.287.6627.con.0001.CDS.1011988.1012632.fwd"	"PATRIC"	"CDS"	1011988	1012632	645	"+"		"PLF_286_00000656"	"PGF_08432396"		214		"Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)"	"GO:0004515|nicotinate-nucleotide adenylyltransferase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.969"			"PATRIC.287.6627.287.6627.con.0001.CDS.1012655.1013011.fwd"	"PATRIC"	"CDS"	1012655	1013011	357	"+"	"FIG00135315"	"PLF_286_00001948"	"PGF_00435430"		118		"Ribosomal silencing factor RsfA"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.970"			"PATRIC.287.6627.287.6627.con.0001.CDS.1013019.1013486.fwd"	"PATRIC"	"CDS"	1013019	1013486	468	"+"		"PLF_286_00000854"	"PGF_07480521"		155		"23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.971"			"PATRIC.287.6627.287.6627.con.0001.CDS.1013499.1014245.fwd"	"PATRIC"	"CDS"	1013499	1014245	747	"+"	"FIG00143531"	"PLF_286_00000027"	"PGF_10376398"		248		"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.972"			"PATRIC.287.6627.287.6627.con.0001.CDS.1014200.1015438.fwd"	"PATRIC"	"CDS"	1014200	1015438	1239	"+"	"FIG00143531"	"PLF_286_00000027"	"PGF_10376398"		412		"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.973"			"PATRIC.287.6627.287.6627.con.0001.CDS.1015428.1016573.fwd"	"PATRIC"	"CDS"	1015428	1016573	1146	"+"	"FIG00000803"	"PLF_286_00000426"	"PGF_01126005"		381		"Rod shape-determining protein RodA"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.974"			"PATRIC.287.6627.287.6627.con.0001.CDS.1016594.1017604.fwd"	"PATRIC"	"CDS"	1016594	1017604	1011	"+"	"FIG00004335"	"PLF_286_00000899"	"PGF_03116630"		336		"Membrane-bound lytic murein transglycosylase B"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.975"			"PATRIC.287.6627.287.6627.con.0001.CDS.1017601.1018629.fwd"	"PATRIC"	"CDS"	1017601	1018629	1029	"+"	"FIG00004744"	"PLF_286_00000163"	"PGF_09566238"		342		"Septum-associated rare lipoprotein A"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.93"			"PATRIC.287.6627.287.6627.con.0001.CDS.101846.102364.fwd"	"PATRIC"	"CDS"	101846	102364	519	"+"	"FIG00005165"	"PLF_286_00001640"	"PGF_01645412"		172		"T6SS component TssB (ImpB/VipA)"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.976"			"PATRIC.287.6627.287.6627.con.0001.CDS.1018695.1019855.fwd"	"PATRIC"	"CDS"	1018695	1019855	1161	"+"	"FIG00561498"	"PLF_286_00000216"	"PGF_06594113"		386		"D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)"	"GO:0009002|serine-type D-Ala-D-Ala carboxypeptidase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.977"			"PATRIC.287.6627.287.6627.con.0001.CDS.1019926.1020207.fwd"	"PATRIC"	"CDS"	1019926	1020207	282	"+"	"FIG00002301"	"PLF_286_00001934"	"PGF_03767152"		93		"Proposed lipoate regulatory protein YbeD"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.978"			"PATRIC.287.6627.287.6627.con.0001.CDS.1020207.1020860.fwd"	"PATRIC"	"CDS"	1020207	1020860	654	"+"	"FIG00000528"	"PLF_286_00000659"	"PGF_04007946"		217		"Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)"	"GO:0033819|lipoyl(octanoyl) transferase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.979"			"PATRIC.287.6627.287.6627.con.0001.CDS.1020857.1021840.fwd"	"PATRIC"	"CDS"	1020857	1021840	984	"+"	"FIG00000362"	"PLF_286_00000316"	"PGF_00017479"		327		"Lipoyl synthase (EC 2.8.1.8)"	"GO:0016992|lipoate synthase activity"
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.980"			"PATRIC.287.6627.287.6627.con.0001.CDS.1021985.1022878.rev"	"PATRIC"	"CDS"	1021985	1022878	894	"-"	"FIG01312420"	"PLF_286_00076604"	"PGF_07987589"		297		"Transcriptional regulator, LysR family"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.981"			"PATRIC.287.6627.287.6627.con.0001.CDS.1022984.1023874.fwd"	"PATRIC"	"CDS"	1022984	1023874	891	"+"	"FIG00009455"	"PLF_286_00003603"	"PGF_00404186"		296		"probable epoxide hydrolase"	
"Pseudomonas aeruginosa X9820"	"287.6627"	"287.6627.con.0001"	"fig|287.6627.peg.94"			"PATRIC.287.6627.287.6627.con.0001.CDS.102377.103873.fwd"	"PATRIC"	"CDS"	102377	103873	1497	"+"	"FIG00004734"	"PLF_286_00001618"	"PGF_04816404"		498		"T6SS component TssC (ImpC/VipB)"	
