Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.962"			"PATRIC.287.6624.287.6624.con.0001.CDS.1000460.1000603.fwd"	"PATRIC"	"CDS"	1000460	1000603	144	"+"		"PLF_286_00031941"	"PGF_06936563"		47		"hypothetical protein"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.963"			"PATRIC.287.6624.287.6624.con.0001.CDS.1000613.1000741.fwd"	"PATRIC"	"CDS"	1000613	1000741	129	"+"		"PLF_286_00355517"	"PGF_05487701"		42		"Hydrolases of the alpha/beta superfamily"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.94"			"PATRIC.287.6624.287.6624.con.0001.CDS.100147.101346.rev"	"PATRIC"	"CDS"	100147	101346	1200	"-"	"FIG00918569"	"PLF_286_00004049"	"PGF_00381113"		399		"ABC-type antimicrobial peptide transport system, permease component"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.964"			"PATRIC.287.6624.287.6624.con.0001.CDS.1001786.1002538.rev"	"PATRIC"	"CDS"	1001786	1002538	753	"-"	"FIG00638284"	"PLF_286_00038366"	"PGF_02945519"		250		"hypothetical protein"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.965"			"PATRIC.287.6624.287.6624.con.0001.CDS.1002640.1003884.fwd"	"PATRIC"	"CDS"	1002640	1003884	1245	"+"	"FIG00638284"	"PLF_286_00216977"	"PGF_04721374"		414		"hypothetical protein"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.966"			"PATRIC.287.6624.287.6624.con.0001.CDS.1003933.1004145.fwd"	"PATRIC"	"CDS"	1003933	1004145	213	"+"		"PLF_286_00161178"	"PGF_06278780"		70		"Transcriptional regulator, AlpA like"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.967"			"PATRIC.287.6624.287.6624.con.0001.CDS.1004537.1005487.fwd"	"PATRIC"	"CDS"	1004537	1005487	951	"+"		"PLF_286_00030028"	"PGF_10389699"		316		"hypothetical protein"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.968"			"PATRIC.287.6624.287.6624.con.0001.CDS.1005638.1007668.rev"	"PATRIC"	"CDS"	1005638	1007668	2031	"-"		"PLF_286_00048270"	"PGF_12928711"		676		"ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.969"			"PATRIC.287.6624.287.6624.con.0001.CDS.1008108.1009205.rev"	"PATRIC"	"CDS"	1008108	1009205	1098	"-"	"FIG00638284"	"PLF_286_00095589"	"PGF_08225224"		365		"hypothetical protein"	
"Pseudomonas aeruginosa M55212"	"287.6624"	"287.6624.con.0001"	"fig|287.6624.peg.970"			"PATRIC.287.6624.287.6624.con.0001.CDS.1009309.1015980.rev"	"PATRIC"	"CDS"	1009309	1015980	6672	"-"	"FIG01674928"	"PLF_286_00011278"	"PGF_00421318"		2223		"DNA helicase related protein"	
